cached_tokens,case_id,cohort,complete,config_id,dispatched,executable,failure,finish_reason,input_characters,input_tokens,job_id,json_valid,max_tokens,output_tokens,reasoning_tokens,repeat,request_id,returned_model,role,schema_valid,seconds,template,usage_complete,valid,validation_reason
371,,acceptance,True,fixed_headroom,True,,,stop,2353,706,r3-acc-p-t0-r0,True,16384,2991,2858,0,0706c88df4a82cf0f6ab06e1aaf01bde,MiniMax-M3,planner,True,13.02665050001815,from_scratch,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,3104,971,r3-acc-p-t0-r1,True,16384,4940,4785,1,0706c89a416894d68449a5384b3d6f3d,MiniMax-M3,planner,True,21.21277929993812,from_scratch,True,True,valid
,,acceptance,True,fixed_headroom,True,,,stop,2358,706,r3-acc-p-t0-r2,True,16384,1468,,2,0706c8af6efe8a8d9d5b3c3bea95a2e9,MiniMax-M3,planner,True,20.24861879996024,from_scratch,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,3110,973,r3-acc-p-t0-r3,True,16384,3556,0,3,0706c8c42e99c5359748b14e46a8fecb,MiniMax-M3,planner,True,53.50108089996502,from_scratch,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,2350,706,r3-acc-p-t0-r4,True,16384,7843,7706,4,0706c8f9f98a57956761e2cf505a8c68,MiniMax-M3,planner,True,34.510764400009066,from_scratch,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,3102,969,r3-acc-p-t0-r5,True,16384,1267,,5,0706c91cd2240078cc78cd5e5f04ea2c,MiniMax-M3,planner,True,8.41126850002911,from_scratch,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,2688,826,r3-acc-p-t1-r0,True,16384,2274,2120,0,0706c92406253e97645c249e3f01e8ab,MiniMax-M3,planner,True,9.737394100055099,parent_revision,True,True,valid
256,,acceptance,True,fixed_headroom,True,,,stop,3451,1094,r3-acc-p-t1-r1,True,16384,2050,1927,1,0706c92eeaa17cc15bdbf7dfb596662f,MiniMax-M3,planner,True,15.355712500051595,parent_revision,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,2695,829,r3-acc-p-t1-r2,True,16384,1847,1716,2,0706c93d0d4b8fa8f36465f301a8fb29,MiniMax-M3,planner,True,8.382743199937977,parent_revision,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,3443,1094,r3-acc-p-t1-r3,True,16384,771,692,3,0706c946d1f0751c1a8121935d486e17,MiniMax-M3,planner,True,4.407189299934544,parent_revision,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,2690,827,r3-acc-p-t1-r4,True,16384,3198,3070,4,0706c94a14da4585babcf931a3212686,MiniMax-M3,planner,True,15.205979700083844,parent_revision,True,True,valid
205,,acceptance,True,fixed_headroom,True,,,stop,3442,1091,r3-acc-p-t1-r5,True,16384,4594,4470,5,0706c95a8afb8a2c6afbc6c4178ace02,MiniMax-M3,planner,True,13.384252300020307,parent_revision,True,True,valid
371,,acceptance,True,fixed_headroom,True,,,stop,3022,946,r3-acc-p-t2-r0,True,16384,1445,1289,0,0706c9676a74edbb77670644dc244894,MiniMax-M3,planner,True,7.439413000014611,reference_revision,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,3776,1215,r3-acc-p-t2-r1,True,16384,3548,3451,1,0706c96f6e944a22589975b616b71195,MiniMax-M3,planner,True,22.60165359999519,reference_revision,True,True,valid
371,,acceptance,True,fixed_headroom,True,,,stop,3016,948,r3-acc-p-t2-r2,True,16384,5245,5119,2,0706c9853c5e3663ba5a373a8ac63acd,MiniMax-M3,planner,True,17.23130129999481,reference_revision,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,3771,1213,r3-acc-p-t2-r3,True,16384,4894,4801,3,0706c99791f791cc4c8bb3f5319220f2,MiniMax-M3,planner,True,14.24132620007731,reference_revision,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,3032,952,r3-acc-p-t2-r4,True,16384,6567,6394,4,0706c9a587752af286f6d67b40c112fd,MiniMax-M3,planner,True,21.031199399963953,reference_revision,True,True,valid
128,,acceptance,True,fixed_headroom,True,,,stop,3766,1209,r3-acc-p-t2-r5,True,16384,1746,0,5,0706c9ba659c28785d0483aec7bbb693,MiniMax-M3,planner,True,23.977538399980403,reference_revision,True,True,valid
512,,acceptance,True,fixed_headroom,True,True,,stop,2194,649,r3-acc-c-t0-r0,True,8192,597,520,0,0706c9d236e35083e2bc64e12628962d,MiniMax-M3,coder,True,6.525685700005852,from_scratch,True,True,executable_on_4_feature_fixtures
384,,acceptance,True,fixed_headroom,True,True,,stop,2196,649,r3-acc-c-t0-r1,True,8192,1575,0,1,0706c9d9a08b970e437f8cf98dee1b2b,MiniMax-M3,coder,True,21.05426629993599,from_scratch,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2196,649,r3-acc-c-t0-r2,True,8192,3792,3638,2,0706c9ee9777a52d33c8cdb8203902fa,MiniMax-M3,coder,True,12.257272599963471,from_scratch,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2196,649,r3-acc-c-t0-r3,True,8192,1365,,3,0706c9facc6d7dfb80cdf2e8a22cf128,MiniMax-M3,coder,True,7.237660999991931,from_scratch,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2196,649,r3-acc-c-t0-r4,True,8192,1689,1564,4,0706ca012a7fadbee6e29cc6ac98bcd1,MiniMax-M3,coder,True,6.625257099978626,from_scratch,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2195,649,r3-acc-c-t0-r5,True,8192,2723,2636,5,0706ca08fbac2ba3440d7d7c726a008a,MiniMax-M3,coder,True,8.44449819996953,from_scratch,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2274,678,r3-acc-c-t1-r0,True,8192,6966,,0,0706ca108992b739ad148d20bbbec4d8,MiniMax-M3,coder,True,40.13419030001387,parent_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2276,678,r3-acc-c-t1-r1,True,8192,1226,,1,0706ca39e27517bb32564e65ef786129,MiniMax-M3,coder,True,7.188216399983503,parent_revision,True,True,executable_on_4_feature_fixtures
205,,acceptance,True,fixed_headroom,True,True,,stop,2276,678,r3-acc-c-t1-r2,True,8192,888,,2,0706ca405c34a5b10ea32ad3baf12739,MiniMax-M3,coder,True,5.943745999946259,parent_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2276,678,r3-acc-c-t1-r3,True,8192,1514,,3,0706ca46be52225b024e5d798ea134da,MiniMax-M3,coder,True,7.739122600061819,parent_revision,True,True,executable_on_4_feature_fixtures
512,,acceptance,True,fixed_headroom,True,True,,stop,2276,678,r3-acc-c-t1-r4,True,8192,718,633,4,0706ca4efa7034c188f0a20cc97853ba,MiniMax-M3,coder,True,7.223166499985382,parent_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2275,678,r3-acc-c-t1-r5,True,8192,1308,1199,5,0706ca5588f433a5d7bdc24ac3eb1030,MiniMax-M3,coder,True,4.518459900049493,parent_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2344,708,r3-acc-c-t2-r0,True,8192,1954,1853,0,0706ca59826f79f980b0fe9a0836e7f8,MiniMax-M3,coder,True,6.356267899973318,reference_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2346,708,r3-acc-c-t2-r1,True,8192,2139,2045,1,0706ca606e9194f064098e2212a02187,MiniMax-M3,coder,True,12.235464399913326,reference_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2346,708,r3-acc-c-t2-r2,True,8192,911,840,2,0706ca6c9617ace7a6650c4dc383b520,MiniMax-M3,coder,True,3.3705932999728248,reference_revision,True,True,executable_on_4_feature_fixtures
384,,acceptance,True,fixed_headroom,True,True,,stop,2346,708,r3-acc-c-t2-r3,True,8192,1191,0,3,0706ca701cc64e44786bdfe4a19c3709,MiniMax-M3,coder,True,14.435767100076191,reference_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2346,708,r3-acc-c-t2-r4,True,8192,1431,1335,4,0706ca7ef840472ba569f33da17a979b,MiniMax-M3,coder,True,7.577207099995576,reference_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,fixed_headroom,True,True,,stop,2345,708,r3-acc-c-t2-r5,True,8192,1788,1695,5,0706ca86a3e97ce79e9775c0650e08ef,MiniMax-M3,coder,True,5.297308600042015,reference_revision,True,True,executable_on_4_feature_fixtures
128,e2e-t0-r0,end_to_end,True,fixed_headroom,True,,,stop,2350,706,r3-e2e-t0-r0-p,True,16384,4601,4410,0,0706ca8b401300722fe6ded76158d24e,MiniMax-M3,planner,True,15.19576470006723,from_scratch,True,True,valid
128,e2e-t0-r0,end_to_end,True,fixed_headroom,True,True,,stop,2604,757,r3-e2e-t0-r0-c,True,8192,1292,1178,0,0706ca9adc05471f81ed02fefa293d67,MiniMax-M3,coder,True,4.836072699981742,from_scratch,True,True,executable_on_4_feature_fixtures
128,e2e-t0-r1,end_to_end,True,fixed_headroom,True,,,stop,3118,975,r3-e2e-t0-r1-p,True,16384,10072,9936,1,0706ca9f38ef7752e2f6015d59c6ca36,MiniMax-M3,planner,True,37.74600119993556,from_scratch,True,True,valid
128,e2e-t0-r1,end_to_end,True,fixed_headroom,True,True,,stop,2475,703,r3-e2e-t0-r1-c,True,8192,1946,,1,0706cac59678fc9a67da3232b212e7c6,MiniMax-M3,coder,True,13.923102999920957,from_scratch,True,True,executable_on_4_feature_fixtures
128,e2e-t1-r0,end_to_end,True,fixed_headroom,True,,,stop,2689,826,r3-e2e-t1-r0-p,True,16384,2620,2504,0,0706cad301f16ab621aecdb15ae5bbaa,MiniMax-M3,planner,True,10.522318899980746,parent_revision,True,True,valid
205,e2e-t1-r0,end_to_end,True,fixed_headroom,True,True,,stop,2508,718,r3-e2e-t1-r0-c,True,8192,1498,1437,0,0706cade6b175e1d60d41b8ead51e9fe,MiniMax-M3,coder,True,5.527926499955356,parent_revision,True,True,executable_on_4_feature_fixtures
128,e2e-t1-r1,end_to_end,True,fixed_headroom,True,,,stop,3472,1102,r3-e2e-t1-r1-p,True,16384,3575,3455,1,0706cae3af11e06b6e1fd2069b89ecba,MiniMax-M3,planner,True,16.77541400003247,parent_revision,True,True,valid
128,e2e-t1-r1,end_to_end,True,fixed_headroom,True,True,,stop,2435,716,r3-e2e-t1-r1-c,True,8192,2840,2777,1,0706caf46291d9178554c7d96f402b11,MiniMax-M3,coder,True,10.07550410006661,parent_revision,True,True,executable_on_4_feature_fixtures
128,e2e-t2-r0,end_to_end,True,fixed_headroom,True,,,stop,3017,946,r3-e2e-t2-r0-p,True,16384,4791,4682,0,0706cafe22a70871cf9b1e452227d511,MiniMax-M3,planner,True,18.757490399992093,reference_revision,True,True,valid
,e2e-t2-r0,end_to_end,True,fixed_headroom,True,True,,stop,2469,741,r3-e2e-t2-r0-c,True,8192,923,,0,0706cb118179c8b0b7d1adb57da75824,MiniMax-M3,coder,True,11.704275400028564,reference_revision,True,True,executable_on_4_feature_fixtures
128,e2e-t2-r1,end_to_end,True,fixed_headroom,True,,,stop,3798,1221,r3-e2e-t2-r1-p,True,16384,1495,0,1,0706cb1dbd84af8c16ba1da359f64392,MiniMax-M3,planner,True,26.919925899943337,reference_revision,True,True,valid
128,e2e-t2-r1,end_to_end,True,fixed_headroom,True,True,,stop,2575,753,r3-e2e-t2-r1-c,True,8192,1403,1318,1,0706cb38a62e6eaff557228c55430533,MiniMax-M3,coder,True,5.279252299922518,reference_revision,True,True,executable_on_4_feature_fixtures
