allocated_tag,alpha_normalized_ast_sha256,behavior_hash,calls,conditional_count,direction_id,features,job_id,lineage_id,node_id,operators,parent_id,reported_tags,semantic_mode_verified,status,validation_gap,version
,3e82af19524a74c18e2cd9fc8fa6c95e418be19d600024d2634b7d0efacc90f4,6f43278f4a2c5760aa7e0cdfdf7534d603c9b28b888649bc08fb976d2ed390db,[],0,structure-559d2f825fd5956d,['distance'],minimax-niche_fixed_dev-b11-s0,0,0,['USub'],,['local_distance'],False,operational_signature_not_semantic_equivalence,0.12675750319452148,s1-posthoc-structure-v1
,d6cf0e76c57aefed067f78c4c2fe2c91ef906858dddb779d8617dc3f703bbc9c,8de7fd3657e39b7fca325371d26ec6cab76cb4515ab5f1afb90ce12d5c782bf6,[],0,structure-1b8374104cff9961,"['distance', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,1,"['Add', 'Mult', 'USub']",,"['local_distance', 'return_aware']",False,operational_signature_not_semantic_equivalence,0.06857209702880612,s1-posthoc-structure-v1
,1a84079db9a9cc4aaccc6bf97d249d0d1c14301d02a97a9aec81ef92528f8326,752f3824afd4aadae76b7580d5a7cde937ba7ef2c47466ac4eae1b9fc87e89f8,[],0,structure-89572e9a2eb7e160,"['distance', 'regret']",minimax-niche_fixed_dev-b11-s0,2,2,"['Add', 'Mult', 'USub']",,"['local_distance', 'regret']",False,operational_signature_not_semantic_equivalence,0.0883861275663334,s1-posthoc-structure-v1
local_distance,714912a888cdb6b5d6b2a00bd568ae969709363674e056f4c4b1e295533dbeb6,642edf4159ce53f24debcc7d04dc9fa87f6e174ee620da9d578b56d33b76a4ea,[],0,structure-346eb8be41faf3d3,"['distance', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,3,"['Add', 'Mult', 'USub']",1,"['local_distance', 'hybrid']",False,operational_signature_not_semantic_equivalence,0.06338208420495518,s1-posthoc-structure-v1
local_distance,45204711229efde3ca5fdcf963a3bb70a73429f12ab06742e2ae5c496009955f,0b1f43d1fec6ac78492700a2c7436d20560211854f50f6f62e33eae2d2bc7925,[],0,structure-48378c389ad979d4,"['cluster_density', 'distance', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,4,"['Add', 'Mult', 'USub']",3,"['local_distance', 'lookahead']",False,operational_signature_not_semantic_equivalence,0.0887111735832992,s1-posthoc-structure-v1
regret,81ffaae3823ba47302bf27803b28dcaa8d15633d7def9b4075e00819aa2ca5f0,5951b481dd4732c555009d1c8263070bb639394b5d1fc6f6fa59c88276f32d82,[],0,structure-fee9e0b8ad48ff0e,"['distance', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,5,"['Add', 'Mult', 'USub']",1,"['regret', 'return_aware']",False,operational_signature_not_semantic_equivalence,0.05829886709876594,s1-posthoc-structure-v1
local_distance,e87c6f87f813503dfe9c431c5e500820a26df17d7e1cf7444873c3e507dc8410,5612e81bd3744ff82c435092a48ff0417b3e28896881ad54cb986b2bb35652d1,[],0,structure-fee9e0b8ad48ff0e,"['distance', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,6,"['Add', 'Mult', 'USub']",3,"['regret', 'return_aware']",False,operational_signature_not_semantic_equivalence,0.05645496289166631,s1-posthoc-structure-v1
lookahead,41f85afca9738c3f734e6d567aad1f935c2e0c3f0ff1ebb501ce4a3216230a6b,ca9ed44dadbf2b3c81db14041199027c767217595d26aef0adfc02d1d79e6512,[],0,structure-c1eaa9b10a4d6cdc,"['cluster_density', 'distance', 'nearest_remaining']",minimax-niche_fixed_dev-b11-s0,7,7,"['Add', 'Mult', 'Sub', 'USub']",,"['lookahead', 'cluster']",False,operational_signature_not_semantic_equivalence,0.12824947034284243,s1-posthoc-structure-v1
regret,ff3d4328cde166d11d132132dcaa644289d55000d478c44bf916d88528e67f3b,5612e81bd3744ff82c435092a48ff0417b3e28896881ad54cb986b2bb35652d1,[],0,structure-fee9e0b8ad48ff0e,"['distance', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,8,"['Add', 'Mult', 'USub']",5,"['regret', 'return_aware']",False,operational_signature_not_semantic_equivalence,0.05559441041013766,s1-posthoc-structure-v1
nonlinear,52e93506220ff4cb2de2ba1f53cc4ee5eb417801c57fc230d2241e46fd293417,5612e81bd3744ff82c435092a48ff0417b3e28896881ad54cb986b2bb35652d1,[],0,structure-f27b2ff7257c8bb9,"['cluster_density', 'distance', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,9,"['Add', 'Mult', 'Sub', 'USub']",4,"['nonlinear', 'lookahead']",False,operational_signature_not_semantic_equivalence,0.05494859605666665,s1-posthoc-structure-v1
regret,04b820e63f8cb5d81c30934b3cb040a14d425729ec21f2f13a5dd4637ddf0979,5612e81bd3744ff82c435092a48ff0417b3e28896881ad54cb986b2bb35652d1,[],0,structure-1bf149ab54437557,"['cluster_density', 'distance', 'nearest_remaining', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,10,"['Add', 'Mult', 'Sub', 'USub']",5,"['lookahead', 'hybrid']",False,operational_signature_not_semantic_equivalence,0.05465509728405051,s1-posthoc-structure-v1
local_distance,73cd926c2abf7a74dbb73483755249e992ff0c039a97c4a89772f6ce4d53b804,3f6ee5871ec693616ca5a608a07a20324a5b7afebb0d452d8d0f9588492c9978,[],0,structure-1bf149ab54437557,"['cluster_density', 'distance', 'nearest_remaining', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,11,"['Add', 'Mult', 'Sub', 'USub']",3,"['hybrid', 'lookahead']",False,operational_signature_not_semantic_equivalence,0.045190873935822634,s1-posthoc-structure-v1
local_distance,39040b8927ce753d721e3856e808c3316f6f15cdfae4f5fda43169ce2f580155,5612e81bd3744ff82c435092a48ff0417b3e28896881ad54cb986b2bb35652d1,[],0,structure-86ad2352e6cf576d,"['cluster_density', 'distance', 'mean_remaining', 'nearest_remaining', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,12,"['Add', 'Mult', 'Sub', 'USub']",6,"['hybrid', 'lookahead']",False,operational_signature_not_semantic_equivalence,0.05034205267169123,s1-posthoc-structure-v1
regret,532c98e38eca350a7e494ba32201fde344147701851c9eea18c94e07db58f850,da002121cf213b0ccc0b28de7ffdcc4bf029c942c2cf9d936898756a19fef159,[],0,structure-6b5b82c2e453d1e9,"['cluster_density', 'distance', 'mean_remaining', 'nearest_remaining', 'progress', 'regret', 'return_distance', 'spread']",minimax-niche_fixed_dev-b11-s0,1,13,"['Add', 'Mult', 'USub']",1,"['regret', 'progress']",False,operational_signature_not_semantic_equivalence,0.04935558824323323,s1-posthoc-structure-v1
nonlinear,13b0184b837ddd9585f93bf7b20e78f88b2a08e0a3ee800f0cec4b0b4a633606,02e972cb216893ce58cda3b0290b31c680b1ab03a983abd03f166bac2b05f70e,[],0,structure-c1ef28c242fd99c8,"['cluster_density', 'distance', 'progress', 'regret', 'return_distance', 'spread']",minimax-niche_fixed_dev-b11-s0,1,14,"['Add', 'Mult', 'Sub', 'USub']",9,"['regret', 'lookahead']",False,operational_signature_not_semantic_equivalence,0.0481281747728394,s1-posthoc-structure-v1
lookahead,f4b13e29487593f62a9eed382325603b42ead678048ca250c627b5f3311cc395,5612e81bd3744ff82c435092a48ff0417b3e28896881ad54cb986b2bb35652d1,[],0,structure-a59e0499cc2f738b,"['cluster_density', 'distance', 'nearest_remaining', 'progress', 'regret', 'return_distance', 'spread']",minimax-niche_fixed_dev-b11-s0,1,15,"['Add', 'Mult', 'Sub', 'USub']",11,"['lookahead', 'hybrid']",False,operational_signature_not_semantic_equivalence,0.049189322556743076,s1-posthoc-structure-v1
nonlinear,d67eb3fc6ed975b52fb0899b4359842e7d4e82d4eacaf8019bd550200d3933ac,1e3aed67645a4c48039597cdb82f58ac61c82c350aea32eef5630497b798cb8c,[],0,structure-704270c4dbfbecbf,"['cluster_density', 'distance', 'mean_remaining', 'nearest_remaining', 'progress', 'regret', 'return_distance', 'spread']",minimax-niche_fixed_dev-b11-s0,1,16,"['Add', 'Mult', 'Sub', 'USub']",9,"['nonlinear', 'hybrid']",False,operational_signature_not_semantic_equivalence,0.050749647987463724,s1-posthoc-structure-v1
nonlinear,281732c4373c353422febeab0d41daf64b493f2e5b85e9408184041356bf6f9f,02e972cb216893ce58cda3b0290b31c680b1ab03a983abd03f166bac2b05f70e,[],0,structure-a59e0499cc2f738b,"['cluster_density', 'distance', 'nearest_remaining', 'progress', 'regret', 'return_distance', 'spread']",minimax-niche_fixed_dev-b11-s0,1,17,"['Add', 'Mult', 'Sub', 'USub']",16,"['nonlinear', 'hybrid']",False,operational_signature_not_semantic_equivalence,0.05450992691508334,s1-posthoc-structure-v1
local_distance,5d3a56b475af4f478ada661c0541f3e2832397d85465254631f6d629afbd2227,5612e81bd3744ff82c435092a48ff0417b3e28896881ad54cb986b2bb35652d1,[],0,structure-86ad2352e6cf576d,"['cluster_density', 'distance', 'mean_remaining', 'nearest_remaining', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,18,"['Add', 'Mult', 'Sub', 'USub']",11,"['lookahead', 'hybrid']",False,operational_signature_not_semantic_equivalence,0.05168853950360974,s1-posthoc-structure-v1
local_distance,a6d3648a4070db4a66498d6290835650d1aeb6161690319b225473ffb8518559,5612e81bd3744ff82c435092a48ff0417b3e28896881ad54cb986b2bb35652d1,[],0,structure-86ad2352e6cf576d,"['cluster_density', 'distance', 'mean_remaining', 'nearest_remaining', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,19,"['Add', 'Mult', 'Sub', 'USub']",5,"['hybrid', 'lookahead']",False,operational_signature_not_semantic_equivalence,0.049400934211845424,s1-posthoc-structure-v1
local_distance,05f5418629080e7e7423da97578a2db29234efeafac974414c632e992e155bd0,3f6ee5871ec693616ca5a608a07a20324a5b7afebb0d452d8d0f9588492c9978,[],0,structure-1bf149ab54437557,"['cluster_density', 'distance', 'nearest_remaining', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,20,"['Add', 'Mult', 'Sub', 'USub']",11,"['local_distance', 'nonlinear']",False,operational_signature_not_semantic_equivalence,0.04700300520424078,s1-posthoc-structure-v1
regret,7d1b590dbe7fd12c0d0479451f4eebef96b24f142aebeb3abd786f1a99f00a4b,008963d1757640326c4988d4232c9381fbd940f59a1e148ab9f766a95cd3f5ee,[],0,structure-c28fc6e0bf3f52bf,"['cluster_density', 'distance', 'nearest_remaining', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,21,"['Add', 'Mult', 'Sub']",1,"['regret', 'nonlinear']",False,operational_signature_not_semantic_equivalence,0.07436412735955039,s1-posthoc-structure-v1
regret,8be1b2ecfef3b5abcd8ee661cd9c0f983d3c68e35ba7b1c63bdd8ada9bee19d6,bc9786dbc91fe77477911633c8671cbc0c9498329d6228b5c24005dd0d37b550,[],0,structure-f27b2ff7257c8bb9,"['cluster_density', 'distance', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,22,"['Add', 'Mult', 'Sub', 'USub']",13,"['regret', 'nonlinear']",False,operational_signature_not_semantic_equivalence,0.04966541877740722,s1-posthoc-structure-v1
lookahead,fab62a64ec1695cab260761f6dbf8e157b89be1f05eaf666d485d5d6fa326400,731f063c900d23eac94af62e1c97faea5b8b2ab06afbe3d5c5cb591930f5f5f6,[],0,structure-86ad2352e6cf576d,"['cluster_density', 'distance', 'mean_remaining', 'nearest_remaining', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,23,"['Add', 'Mult', 'Sub', 'USub']",16,"['lookahead', 'regret']",False,operational_signature_not_semantic_equivalence,0.05551647192865895,s1-posthoc-structure-v1
regret,1e1ac5cff458c371258cb8291bfc6508fdb9d9af5fff6ecff55707e904270a82,a38f90cf1e4b62393c00270b28aa9fea918a81c9b4d02938ff7edc352476598e,[],0,structure-ed9919a646688e85,"['cluster_density', 'distance', 'progress', 'regret', 'return_distance']",minimax-niche_fixed_dev-b11-s0,1,24,"['Add', 'Mult', 'USub']",13,"['regret', 'cluster']",False,operational_signature_not_semantic_equivalence,0.05180612506918496,s1-posthoc-structure-v1
