admission_improved_global,admission_parent_gain,admission_step,attempts_received,block,controller,eviction_step,final_best_parent_ancestor,first_followup_step,future_scheduled_slots,global_improving_followups,initial_grant,job_id,node_id,parent_improving_followups,seed,unused_at_eviction,unused_at_horizon,valid_followups
True,0.00519001282385094,0,2,11,niche_fixed_dev,5,True,1,16,1,2,minimax-niche_fixed_dev-b11-s0,3,1,0,0,0,2
True,0.010273229930040186,2,2,11,niche_fixed_dev,7,False,5,15,2,2,minimax-niche_fixed_dev-b11-s0,5,2,0,0,0,2
True,0.006927121313288875,3,1,11,niche_fixed_dev,9,False,9,14,0,2,minimax-niche_fixed_dev-b11-s0,6,1,0,1,0,1
True,0.0027044566886282803,5,0,11,niche_fixed_dev,6,False,,13,0,2,minimax-niche_fixed_dev-b11-s0,8,0,0,2,0,0
True,0.03376257752663255,6,2,11,niche_fixed_dev,13,False,11,13,0,2,minimax-niche_fixed_dev-b11-s0,9,2,0,0,0,2
True,0.003643769814715425,7,0,11,niche_fixed_dev,8,False,,12,0,2,minimax-niche_fixed_dev-b11-s0,10,0,0,2,0,0
True,0.01819121026913255,8,2,11,niche_fixed_dev,22,True,15,12,0,2,minimax-niche_fixed_dev-b11-s0,11,0,0,0,0,2
False,0.006112910219975079,9,0,11,niche_fixed_dev,10,False,,11,0,2,minimax-niche_fixed_dev-b11-s0,12,0,0,2,0,0
False,0.01921650878557289,10,2,11,niche_fixed_dev,26,False,19,11,0,2,minimax-niche_fixed_dev-b11-s0,13,0,0,0,0,2
False,0.004198948069202929,13,0,11,niche_fixed_dev,16,False,,9,0,2,minimax-niche_fixed_dev-b11-s0,16,0,0,2,0,0
False,0.008897932886920513,16,2,11,niche_fixed_dev,25,False,23,8,0,2,minimax-niche_fixed_dev-b11-s0,19,1,0,0,0,2
False,0.00016882643806998693,22,1,11,niche_fixed_dev,28,False,27,5,0,2,minimax-niche_fixed_dev-b11-s0,25,0,0,1,0,1
False,0.0002116116551023478,25,2,11,niche_fixed_dev,,False,29,3,0,2,minimax-niche_fixed_dev-b11-s0,28,0,0,0,0,2
False,0.02612810594749492,26,0,11,niche_fixed_dev,,False,,3,0,2,minimax-niche_fixed_dev-b11-s0,29,0,0,0,2,0
False,0.012974363910608772,28,0,11,niche_fixed_dev,,False,,2,0,2,minimax-niche_fixed_dev-b11-s0,31,0,0,0,2,0
True,0.006692431306794942,0,2,12,niche_fixed_dev,5,False,1,16,0,2,minimax-niche_fixed_dev-b12-s1,3,1,1,0,0,2
True,0.036243048718658466,2,2,12,niche_fixed_dev,7,False,5,15,1,2,minimax-niche_fixed_dev-b12-s1,5,2,1,0,0,2
False,0.005979853454259776,3,2,12,niche_fixed_dev,11,False,9,14,1,2,minimax-niche_fixed_dev-b12-s1,6,2,1,0,0,2
