admissions,api_seconds,block,calls,completed_proposals,controller,development_attempts,differentiated_family_slots,full_vs_fifo_choice_differences,full_vs_gain_choice_differences,global_improving_dev_children,job_id,known_tokens,max_success_depth,multi_branch_slots,output_truncations,parent_improving_dev_children,request_artifacts,s0_complete_outputs,s0_valid_coders,s0_valid_planners,seed,seed_test_gap,status,test_gap,test_valid,usage_complete,valid_candidates
15,1285.61810519977,11,64,32,niche_fixed_dev,16,15,11,6,3,minimax-niche_fixed_dev-b11-s0,315001,3,15,0,7,64,64,32,32,0,0.06582667487248034,search_complete_test_not_run,0.05826847546400602,True,True,32
18,1180.0499570999527,12,64,32,niche_fixed_dev,16,14,9,8,4,minimax-niche_fixed_dev-b12-s1,310660,3,15,0,13,64,64,32,32,1,0.06721673325707235,search_complete_test_not_run,0.04257058331341494,True,True,32
14,1193.1155004998436,12,62,32,relational_branch,16,12,9,11,2,minimax-relational_branch-b12-s0,305717,3,13,2,5,62,60,30,30,0,0.06721673325707235,search_complete_test_not_run,0.05190148804796627,True,True,30
15,890.6179156003054,13,64,32,relational_branch,15,12,10,9,6,minimax-relational_branch-b13-s1,267045,3,14,0,6,64,64,32,32,1,0.06952931971428494,search_complete_test_not_run,0.040816592287591866,True,True,32
14,1130.4470030997181,13,64,32,niche_fixed_dev,16,8,9,5,6,minimax-niche_fixed_dev-b13-s0,307386,5,14,0,13,64,64,32,32,0,0.06952931971428494,search_complete_test_not_run,0.047461401150884916,True,True,32
15,1315.472629900556,12,64,32,relational_branch,15,14,13,7,7,minimax-relational_branch-b12-s1,293025,4,15,0,8,64,64,32,32,1,0.06721673325707235,search_complete_test_not_run,0.032097569339076884,True,True,32
13,1412.4840261004865,11,64,32,relational_branch,16,14,10,9,4,minimax-relational_branch-b11-s0,290148,3,15,0,6,64,64,32,32,0,0.06582667487248034,search_complete_test_not_run,0.04593887549149455,True,True,32
12,1374.8053898005746,13,62,32,niche_fixed_dev,15,11,7,7,4,minimax-niche_fixed_dev-b13-s1,307374,5,12,2,7,62,60,30,30,1,0.06952931971428494,search_complete_test_not_run,0.04317054908983054,True,True,30
12,1320.4985909993993,12,64,32,niche_fixed_dev,16,14,12,6,2,minimax-niche_fixed_dev-b12-s0,281268,3,15,0,7,64,64,31,32,0,0.06721673325707235,search_complete_test_not_run,0.044742584515454126,True,True,31
15,1061.1088584003737,11,64,32,relational_branch,16,14,15,10,2,minimax-relational_branch-b11-s1,289289,4,15,0,5,64,64,32,32,1,0.06582667487248034,search_complete_test_not_run,0.06583209623638372,True,True,32
9,898.5892410000088,13,64,32,relational_branch,16,8,7,7,1,minimax-relational_branch-b13-s0,253352,3,12,0,4,64,64,32,32,0,0.06952931971428494,search_complete_test_not_run,0.0644379153110879,True,True,32
16,1342.5690889005782,11,64,32,niche_fixed_dev,16,12,10,11,4,minimax-niche_fixed_dev-b11-s1,295640,4,15,0,10,64,64,31,32,1,0.06582667487248034,search_complete_test_not_run,0.04057619162920321,True,True,31
