model,task,method,seed,steps,best_validation_loss,validation_selected_test_loss,quality_constrained_modes,test_quality_constrained_modes,terminal_collision_rate,useful_generated,valid_fraction,total_tokens,feature_calls,local_checks,evaluator_cpu_seconds,test_evaluator_cpu_seconds,mean_best_validation_loss_over_candidates,useful_per_10k_tokens,improvement_over_seed_validation,run
qwen3.7-plus,binpack,niche,0,12,0.08568803447926386,0.12305882722757955,3,3,0.6666666666666666,1,0.75,24119,20195,0,0.40625,0.1875,0.0859694909732391,0.4146108876819105,0.0,chapter6_demo\runs\pilot_qwen\binpack_niche_s0
qwen3.7-plus,binpack,niche,1,12,0.08568803447926386,0.12305882722757955,2,2,1.0,0,1.0,24092,22036,0,0.5,0.09375,0.0859694909732391,0.0,0.0,chapter6_demo\runs\pilot_qwen\binpack_niche_s1
qwen3.7-plus,binpack,niche,2,12,0.08568803447926386,0.12305882722757955,2,2,0.9166666666666666,0,0.9166666666666666,24156,20607,0,0.46875,0.09375,0.0859694909732391,0.0,0.0,chapter6_demo\runs\pilot_qwen\binpack_niche_s2
qwen3.7-plus,binpack,niche,3,12,0.08568803447926386,0.12305882722757955,5,5,0.75,3,1.0,26771,21900,0,0.640625,0.359375,0.0859694909732391,1.120615591498263,0.0,chapter6_demo\runs\pilot_qwen\binpack_niche_s3
qwen3.7-plus,binpack,niche,4,12,0.08568803447926386,0.12305882722757955,3,3,0.9166666666666666,1,1.0,24198,21980,0,0.453125,0.265625,0.0859694909732391,0.41325729399123895,0.0,chapter6_demo\runs\pilot_qwen\binpack_niche_s4
qwen3.7-plus,binpack,quality,0,12,0.08568803447926386,0.12305882722757955,2,2,0.9166666666666666,0,1.0,22565,23021,0,0.453125,0.125,0.0859694909732391,0.0,0.0,chapter6_demo\runs\pilot_qwen\binpack_quality_s0
qwen3.7-plus,binpack,quality,1,12,0.08568803447926386,0.12305882722757955,3,3,0.75,1,1.0,23262,23250,0,0.515625,0.171875,0.0859694909732391,0.42988565041698906,0.0,chapter6_demo\runs\pilot_qwen\binpack_quality_s1
qwen3.7-plus,binpack,quality,2,12,0.08568803447926386,0.12305882722757955,3,3,0.75,1,0.9166666666666666,23469,22224,0,0.46875,0.171875,0.0859694909732391,0.42609399633559164,0.0,chapter6_demo\runs\pilot_qwen\binpack_quality_s2
qwen3.7-plus,binpack,quality,3,12,0.08568803447926386,0.12305882722757955,2,2,1.0,0,1.0,23349,24512,0,0.53125,0.109375,0.0859694909732391,0.0,0.0,chapter6_demo\runs\pilot_qwen\binpack_quality_s3
qwen3.7-plus,binpack,quality,4,12,0.08568803447926386,0.12305882722757955,3,3,0.9166666666666666,1,1.0,23198,23222,0,0.5,0.15625,0.0859694909732391,0.43107164410725063,0.0,chapter6_demo\runs\pilot_qwen\binpack_quality_s4
qwen3.7-plus,binpack,relational,0,12,0.08568803447926386,0.12305882722757955,3,3,0.9166666666666666,1,1.0,36457,23362,0,0.453125,0.15625,0.0859694909732391,0.2742957456729846,0.0,chapter6_demo\runs\pilot_qwen\binpack_relational_s0
qwen3.7-plus,binpack,relational,1,12,0.08568803447926386,0.12305882722757955,2,2,0.6666666666666666,0,0.9166666666666666,35489,22511,0,0.4375,0.09375,0.0859694909732391,0.0,0.0,chapter6_demo\runs\pilot_qwen\binpack_relational_s1
qwen3.7-plus,binpack,relational,2,12,0.08568803447926386,0.12305882722757955,4,4,0.8333333333333334,2,1.0,37255,22688,0,0.484375,0.25,0.0859694909732391,0.5368406925244934,0.0,chapter6_demo\runs\pilot_qwen\binpack_relational_s2
qwen3.7-plus,binpack,relational,3,12,0.08568803447926386,0.12305882722757955,2,2,0.8333333333333334,0,0.9166666666666666,36411,21741,0,0.484375,0.125,0.0859694909732391,0.0,0.0,chapter6_demo\runs\pilot_qwen\binpack_relational_s3
qwen3.7-plus,binpack,relational,4,12,0.08568803447926386,0.12305882722757955,7,7,0.5,5,0.9166666666666666,38017,20785,0,0.4375,0.484375,0.0859694909732391,1.3152010942473105,0.0,chapter6_demo\runs\pilot_qwen\binpack_relational_s4
qwen3.7-plus,binpack,terminal,0,12,0.08568803447926386,0.12305882722757955,4,4,0.8333333333333334,2,1.0,36456,23113,0,0.515625,0.25,0.0859694909732391,0.5486065393899495,0.0,chapter6_demo\runs\pilot_qwen\binpack_terminal_s0
qwen3.7-plus,binpack,terminal,1,12,0.08568803447926386,0.12305882722757955,4,4,0.8333333333333334,2,1.0,36328,22596,0,0.453125,0.21875,0.0859694909732391,0.5505395287381634,0.0,chapter6_demo\runs\pilot_qwen\binpack_terminal_s1
qwen3.7-plus,binpack,terminal,2,12,0.08568803447926386,0.12305882722757955,2,2,1.0,0,1.0,36535,23256,0,0.46875,0.125,0.0859694909732391,0.0,0.0,chapter6_demo\runs\pilot_qwen\binpack_terminal_s2
