cached_tokens,case_id,cohort,complete,config_id,dispatched,executable,failure,finish_reason,input_characters,input_tokens,job_id,json_valid,max_tokens,output_tokens,reasoning_tokens,repeat,request_id,returned_model,role,schema_valid,seconds,template,usage_complete,valid,validation_reason
128,,calibration,True,legacy_caps,True,True,,stop,2244,665,cal-c-c0-t1-r1,True,2000,1631,1539,1,0706c251946f3540bf55999720e80358,MiniMax-M3,coder,True,7.64745079993736,parent_revision,True,True,executable_on_4_feature_fixtures
128,,calibration,True,expanded_caps,True,True,,stop,2314,695,cal-c-c1-t2-r2,True,4096,1373,1284,2,0706c259a9516d060234948283234beb,MiniMax-M3,coder,True,6.930376700009219,reference_revision,True,True,executable_on_4_feature_fixtures
128,,calibration,False,expanded_caps,True,,,length,2652,814,cal-p-c1-t1-r1,False,4096,4096,4095,1,0706c2607a750e38adcdba7e9c5f62d5,MiniMax-M3,planner,False,16.91118350008037,parent_revision,True,False,final_json_missing_or_malformed
664,,calibration,True,expanded_caps,True,True,,stop,2244,665,cal-c-c1-t1-r1,True,4096,1199,1104,1,0706c27105ba3b97f7ffe98fcb291afe,MiniMax-M3,coder,True,4.2806933000683784,parent_revision,True,True,executable_on_4_feature_fixtures
128,,calibration,True,legacy_caps,True,True,,stop,2194,649,cal-c-c0-t0-r0,True,2000,1606,1498,0,0706c276acb8e48d45999293e16c4ced,MiniMax-M3,coder,True,6.394134400063194,from_scratch,True,True,executable_on_4_feature_fixtures
128,,calibration,True,expanded_caps,True,,,stop,2348,706,cal-p-c1-t0-r2,True,4096,1302,1175,2,0706c27c437ee603ae028f1ec9cfd650,MiniMax-M3,planner,True,5.359740099986084,from_scratch,True,True,valid
128,,calibration,False,legacy_caps,True,,,length,2644,810,cal-p-c0-t1-r0,False,1800,1800,,0,0706c2813bf468fd9579477a47acf1cb,MiniMax-M3,planner,False,10.789326900034212,parent_revision,True,False,final_json_missing_or_malformed
128,,calibration,False,expanded_caps,True,,,length,2640,809,cal-p-c1-t1-r2,False,4096,4095,4095,2,0706c28c957de567037aedf33101d2fc,MiniMax-M3,planner,False,29.722963999956846,parent_revision,True,False,final_json_missing_or_malformed
128,,calibration,True,expanded_caps,True,,,stop,2356,706,cal-p-c1-t0-r0,True,4096,3528,3355,0,0706c2aade506cf5d91c4c1cc11ba335,MiniMax-M3,planner,True,15.679011899977922,from_scratch,True,True,valid
128,,calibration,True,expanded_caps,True,,,stop,2980,933,cal-p-c1-t2-r1,True,4096,445,,1,0706c2ba8ec1b697a7da2cdcbdc6baaf,MiniMax-M3,planner,True,4.065429799957201,reference_revision,True,True,valid
