job_id,provider,model,task,method,block,regime,steps,token_budget,single_test_loss,selector_test_loss,single_algorithm_seconds,selected_algorithm_seconds,saved_selector_feature_and_predict_seconds,selector_total_seconds,end_to_end_time_ratio,single_feature_calls,selected_feature_calls,selected_local_checks,test_instances,prediction_timing_mode,exact_reference_generation_timed,replay_matches
minimax-tsp-niche-b0-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,0,slots8,8,,0.0753478855068519,0.07428265835133004,0.32766449998598546,0.31198599992785603,0.11965479992795736,0.4316407998558134,1.3173254956648495,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-niche-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,0,tokens30000,32,30000,0.05240714875845718,0.06872415201157352,0.285000899923034,0.2823287999490276,0.0658627999946475,0.3481915999436751,1.2217210543465162,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational-b0-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,0,slots8,8,,0.07798923407672351,0.07798923407672351,0.2310797000536695,0.24036809999961406,0.09212570008821785,0.3324938000878319,1.4388706580915953,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,0,tokens30000,32,30000,0.07798923407672351,0.06998968911764172,0.22905540000647306,0.28054289997089654,0.06514540000353009,0.3456882999744266,1.5091907894974645,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp-b0-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,0,slots8,8,,0.07798923407672351,0.07798923407672351,0.24101669993251562,0.2330348000396043,0.06711319996975362,0.30014800000935793,1.245341090859675,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,0,tokens30000,32,30000,0.07798923407672351,0.07798923407672351,0.23356590000912547,0.21787970000877976,0.08246200007852167,0.30034170008730143,1.2858970426571987,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp_rr-b0-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,0,slots8,8,,0.07353049598430739,0.07353049598430739,0.3365424000658095,0.3325960000511259,0.07524160004686564,0.4078376000979915,1.211846115135093,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp_rr-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,0,tokens30000,32,30000,0.07798923407672351,0.08066364364226929,0.23953600006643683,0.244779699947685,0.06460819998756051,0.3093878999352455,1.2916133685518454,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_rr-b0-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,0,slots8,8,,0.06409610803892883,0.06409610803892883,0.2654908000258729,0.2715000999160111,0.06501950009260327,0.33651960000861436,1.2675377074302367,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_rr-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,0,tokens30000,32,30000,0.07798923407672351,0.07798923407672351,0.2238926999270916,0.2270536000141874,0.06310760008636862,0.290161200100556,1.2959833000139982,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-niche-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,0,slots8,8,,0.05186313643800565,0.07158817005956009,0.23703859990928322,0.23934099997859448,0.09664879995398223,0.3359897999325767,1.4174476227127693,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-niche-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,0,tokens30000,32,30000,0.055793825972090975,0.057758430677019704,0.23946309997700155,0.23919380002189428,0.09252170007675886,0.33171550009865314,1.385246829805977,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,0,slots8,8,,0.02889961230452498,0.033263448635462795,0.25344480003695935,0.2555291000753641,0.0775993000715971,0.3331284001469612,1.3144021897406526,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,0,tokens30000,32,30000,0.04932563080982112,0.05643447134326031,0.23645319999195635,0.2506219999631867,0.06273090001195669,0.3133528999751434,1.3252216505668055,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,0,slots8,8,,0.05844785886118298,0.059191522645223364,0.24750789999961853,0.2405078000156209,0.0829092999920249,0.3234171000076458,1.3066940489905343,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,0,tokens30000,32,30000,0.05844785886118298,0.05844785886118298,0.2548919999971986,0.2335804000031203,0.06795729999430478,0.3015376999974251,1.183001820381727,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp_rr-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,0,slots8,8,,0.05434974124647226,0.05204609596075099,0.2525560000212863,0.26429490000009537,0.06361799989826977,0.32791289989836514,1.2983769931054003,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
