provider,model,task,regime,method,metric,metric_label,direction,n,mean,median,bootstrap_95_low,bootstrap_95_high,block_values
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,validation_selected_test_loss,validation-selected mean test loss,lower,5,0.1100736213451577,0.10892689570996252,0.10545916129654795,0.11460680397412712,"{""0"": 0.10892689570996252, ""1"": 0.11352826487106794, ""2"": 0.10182804463758785, ""3"": 0.11780149380826194, ""4"": 0.10828340769890829}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,validation_selected_test_valid,validation-selected rule has valid test execution,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,common_gate_test_behavior_modes,test behavior modes within common quality gate,higher,5,2.6,2.0,2.0,3.4,"{""0"": 4.0, ""1"": 2.0, ""2"": 3.0, ""3"": 2.0, ""4"": 2.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,common_gate_test_eligible_size,test-eligible common-gate archive size,higher,5,2.6,2.0,2.0,3.4,"{""0"": 4.0, ""1"": 2.0, ""2"": 3.0, ""3"": 2.0, ""4"": 2.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,valid_fraction,valid generated fraction,higher,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,tokens_used,reported input plus output tokens,lower,5,16417.0,16071.0,16022.6,17104.4,"{""0"": 17768.0, ""1"": 16225.0, ""2"": 16071.0, ""3"": 15993.0, ""4"": 16028.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,token_budget_valid,valid hard-token-ceiling run,higher,0,,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,learned_selector_test_loss,validation-fitted selector mean test loss,lower,0,,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,selector_gain_vs_single,selector improvement over validation-selected single rule,higher,0,,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,selector_seconds_per_instance,selector feature and prediction seconds per test instance,lower,0,,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,oracle_gain_upper_bound,test-instance oracle gain (upper bound only),higher,0,,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,parent_improvements,parent improvements,higher,5,2.8,3.0,1.8,4.0,"{""0"": 5.0, ""1"": 3.0, ""2"": 1.0, ""3"": 2.0, ""4"": 3.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,neighborhood_improvements,behavior-neighborhood improvements,higher,5,0.0,0.0,0.0,0.0,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,productive_collisions,productive behavior collisions,higher,5,2.6,3.0,1.6,3.4,"{""0"": 4.0, ""1"": 3.0, ""2"": 1.0, ""3"": 2.0, ""4"": 3.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,unproductive_collisions,unproductive behavior collisions,lower,5,4.8,5.0,3.4,5.8,"{""0"": 2.0, ""1"": 5.0, ""2"": 6.0, ""3"": 6.0, ""4"": 5.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,niche,restarts,restarts,lower,5,1.0,1.0,1.0,1.0,"{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational,validation_selected_test_loss,validation-selected mean test loss,lower,5,0.1100736213451577,0.10892689570996252,0.10545916129654795,0.11460680397412712,"{""0"": 0.10892689570996252, ""1"": 0.11352826487106794, ""2"": 0.10182804463758785, ""3"": 0.11780149380826194, ""4"": 0.10828340769890829}"
