job_id,provider,model,task,method,block,regime,steps,token_budget,relational_qp_fixed_history_decision_changes,relational_qp_fixed_history_action_changes,relational_qp_fixed_history_parent_changes,relational_rr_fixed_history_decision_changes,relational_rr_fixed_history_action_changes,relational_rr_fixed_history_parent_changes,relational_qp_rr_fixed_history_decision_changes,relational_qp_rr_fixed_history_action_changes,relational_qp_rr_fixed_history_parent_changes,restarts,restart_trigger_untried,restart_trigger_saturation,restart_trigger_no_growth,proposals,valid_proposals,global_improvements,global_improvements_colliding,local_development_events,local_only_collisions,local_only_credit_eligible,local_only_credit_exhausted,parent_improvements,neighborhood_improvements,reported_tokens,usage_complete,unused_token_fraction,mean_planner_input_tokens,mean_coder_input_tokens,local_only_identical_to_prior_observed_rule,local_only_weakly_dominated_on_validation,local_only_retained_in_search_archive,local_only_later_used_as_parent,local_only_later_used_as_reference
minimax-binpack-relational_rr-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_rr,1,slots8,8,,0,0,0,0,0,0,0,0,0,7,5,0,4,8,6,0,0,0,0,0,0,0,0,34654,True,,2962.875,931.125,,,,,
minimax-binpack-niche-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,niche,3,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,0,0,2,2,2,0,2,0,23113,True,0.2295666666666667,1687.875,790.75,2,2,0,0,0
qwen-binpack-relational-b4-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational,4,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,5,0,0,0,0,0,0,0,1,20689,True,0.3103666666666667,2657.0,577.1666666666666,,,,,
minimax-binpack-relational_qp-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp,3,slots8,8,,0,0,0,0,0,0,0,0,0,6,5,0,3,8,7,1,0,0,0,0,0,0,0,31368,True,,2782.75,742.0,,,,,
minimax-binpack-relational_qp_rr-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp_rr,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,0,6,6,0,0,0,0,0,0,0,0,20396,True,0.3201333333333334,2301.0,705.6666666666666,,,,,
minimax-binpack-niche-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,niche,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,8,7,0,0,1,0,0,0,1,0,22343,True,0.2552333333333333,1658.875,812.125,,,,,
qwen-tsp-niche-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,3,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,2,0,0,0,10,10,2,0,3,1,1,0,3,0,25005,True,0.16649999999999998,1662.8,605.6,0,0,0,0,0
minimax-tsp-niche-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,2,slots8,8,,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,0,0,1,0,0,0,1,1,22100,True,,1651.0,773.625,,,,,
qwen-tsp-niche-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,1,tokens30000,32,30000,3,1,1,0,0,0,3,1,1,2,0,0,0,10,10,4,3,6,2,2,0,4,6,24851,True,0.1716333333333333,1630.1,620.9,0,0,1,0,0
minimax-binpack-relational-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational,3,slots8,8,,0,0,0,0,0,0,0,0,0,5,5,0,1,8,8,0,0,1,0,0,0,1,0,32000,True,,2866.75,773.875,,,,,
minimax-tsp-relational_rr-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,2,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,4,5,5,0,0,0,0,0,0,0,0,18407,True,0.3864333333333333,2402.4,852.8,,,,,
minimax-tsp-relational_qp-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,2,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,6,0,0,0,0,0,0,0,0,21333,True,0.28890000000000005,2314.1666666666665,850.5,,,,,
minimax-tsp-relational_qp-b4-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,4,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,5,5,0,4,5,5,0,0,0,0,0,0,0,1,19424,True,0.35253333333333337,2534.0,920.4,,,,,
minimax-binpack-relational-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational,1,slots8,8,,0,0,0,0,0,0,0,0,0,6,5,0,1,8,7,0,0,0,0,0,0,0,0,29035,True,,2480.375,741.875,,,,,
qwen-binpack-relational_qp_rr-b4-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp_rr,4,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,6,0,0,0,0,0,0,0,0,19856,True,0.3381333333333333,2617.1666666666665,528.3333333333334,,,,,
minimax-tsp-relational-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,2,slots8,8,,0,0,0,0,0,0,0,0,0,6,5,0,5,8,8,0,0,0,0,0,0,0,0,29094,True,,2494.75,804.75,,,,,
minimax-tsp-niche-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,1,slots8,8,,1,1,1,0,0,0,1,1,1,1,0,0,0,8,7,2,2,4,0,0,0,4,2,20317,True,,1529.625,722.875,,,,,
qwen-tsp-relational-b4-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,4,slots8,8,,0,0,0,0,0,0,0,0,0,6,5,0,5,8,8,1,0,0,0,0,0,0,0,27969,True,,2631.875,633.125,,,,,
qwen-tsp-niche-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,2,slots8,8,,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,0,0,1,1,1,0,0,1,20261,True,,1683.5,614.875,0,0,1,0,0
qwen-tsp-relational_rr-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_rr,3,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,4,4,0,0,6,6,1,0,2,1,1,0,1,1,18885,True,0.37050000000000005,2355.6666666666665,590.1666666666666,0,0,1,0,0
qwen-binpack-niche-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,niche,0,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,0,0,3,3,3,0,3,0,9942,False,0.6686000000000001,1297.0,523.8,3,3,0,0,0
minimax-tsp-relational_rr-b4-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,4,slots8,8,,0,0,0,0,0,0,0,0,0,6,5,0,4,8,8,0,0,0,0,0,0,0,1,29930,True,,2513.625,860.875,,,,,
minimax-binpack-niche-b4-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,niche,4,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,0,0,2,2,2,0,2,0,22680,True,0.244,1655.625,753.25,1,2,0,0,0
minimax-tsp-niche-b1-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,1,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,2,1,5,2,2,0,4,2,23745,True,0.20850000000000002,1779.625,835.125,1,1,1,1,0
qwen-binpack-relational-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational,3,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,3,6,6,0,0,0,0,0,0,0,0,20388,True,0.3204,2561.0,598.0,,,,,
qwen-tsp-relational_qp_rr-b4-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,4,tokens30000,32,30000,0,0,0,0,0,0,0,0,0,6,5,0,5,6,6,0,0,0,0,0,0,0,0,20143,True,0.3285666666666667,2381.3333333333335,675.6666666666666,,,,,
qwen-tsp-relational_qp-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,2,slots8,8,,0,0,0,0,0,0,0,0,0,7,5,0,6,8,8,0,0,0,0,0,0,0,0,25441,True,,2379.5,596.5,,,,,
qwen-binpack-relational_rr-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_rr,0,slots8,8,,1,1,1,0,0,0,1,1,1,7,5,0,6,8,8,0,0,1,1,1,0,1,0,27777,True,,2768.375,537.125,1,1,0,0,0
minimax-tsp-relational_qp_rr-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp_rr,2,slots8,8,,0,0,0,0,0,0,0,0,0,7,5,0,6,8,8,0,0,0,0,0,0,0,0,34675,True,,2999.25,943.0,,,,,
minimax-tsp-niche-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,3,slots8,8,,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,2,0,2,0,0,0,2,0,23616,True,,1765.25,830.625,,,,,
