provider,model,task,regime,contrast,metric,direction,n_paired,mean_difference,bootstrap_95_low,bootstrap_95_high,block_differences
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,validation_selected_test_loss,lower,5,0.0,0.0,0.0,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,validation_selected_test_valid,higher,5,0.0,0.0,0.0,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,common_gate_test_behavior_modes,higher,5,-0.2,-1.2,0.6,"{""0"": -2.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,common_gate_test_eligible_size,higher,5,-0.2,-1.2,0.6,"{""0"": -2.0, ""1"": 1.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,valid_fraction,higher,5,-0.075,-0.175,0.0,"{""0"": 0.0, ""1"": -0.25, ""2"": -0.125, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,tokens_used,lower,5,11193.2,10618.8,11692.6,"{""0"": 10206.0, ""1"": 11021.0, ""2"": 11235.0, ""3"": 12049.0, ""4"": 11455.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,token_budget_valid,higher,0,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,learned_selector_test_loss,lower,0,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,selector_gain_vs_single,higher,0,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,selector_seconds_per_instance,lower,0,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,oracle_gain_upper_bound,higher,0,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,parent_improvements,higher,5,-2.0,-3.0,-1.2,"{""0"": -4.0, ""1"": -2.0, ""2"": -1.0, ""3"": -1.0, ""4"": -2.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,neighborhood_improvements,higher,5,0.0,0.0,0.0,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,productive_collisions,higher,5,-1.8,-2.4,-1.2,"{""0"": -3.0, ""1"": -2.0, ""2"": -1.0, ""3"": -1.0, ""4"": -2.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,unproductive_collisions,lower,5,1.4,-0.2,3.4,"{""0"": 5.0, ""1"": -1.0, ""2"": 0.0, ""3"": 1.0, ""4"": 2.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_minus_niche,restarts,lower,5,6.0,6.0,6.0,"{""0"": 6.0, ""1"": 6.0, ""2"": 6.0, ""3"": 6.0, ""4"": 6.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,validation_selected_test_loss,lower,5,0.0,0.0,0.0,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,validation_selected_test_valid,higher,5,0.0,0.0,0.0,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,common_gate_test_behavior_modes,higher,5,-0.2,-1.2,0.8,"{""0"": -2.0, ""1"": 0.0, ""2"": -1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,common_gate_test_eligible_size,higher,5,-0.2,-1.2,0.8,"{""0"": -2.0, ""1"": 0.0, ""2"": -1.0, ""3"": 1.0, ""4"": 1.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,valid_fraction,higher,5,0.0,0.0,0.0,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,tokens_used,lower,5,11448.2,11003.0,11824.0,"{""0"": 10666.0, ""1"": 11900.0, ""2"": 11831.0, ""3"": 11658.0, ""4"": 11186.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,token_budget_valid,higher,0,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,learned_selector_test_loss,lower,0,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,selector_gain_vs_single,higher,0,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,selector_seconds_per_instance,lower,0,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,oracle_gain_upper_bound,higher,0,,,,{}
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,parent_improvements,higher,5,-1.8,-3.2,-0.6,"{""0"": -4.0, ""1"": -1.0, ""2"": 0.0, ""3"": -1.0, ""4"": -3.0}"
alibaba-token-plan-cn,qwen3.7-plus,binpack,slots8,relational_qp_minus_niche,neighborhood_improvements,higher,5,0.0,0.0,0.0,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}"
