job_id,provider,model,task,method,block,regime,steps,token_budget,status,result_present,source_fingerprint,benchmark_version,request_errors,usage_complete,reservation_violations,budget_stop_stage,selector_status,validation_selected_test_loss,validation_selected_test_valid,common_gate_test_behavior_modes,common_gate_test_eligible_size,valid_fraction,tokens_used,token_budget_valid,learned_selector_test_loss,selector_gain_vs_single,selector_seconds_per_instance,oracle_gain_upper_bound,parent_improvements,neighborhood_improvements,productive_collisions,unproductive_collisions,restarts,generated,valid_generated,input_tokens,output_tokens,model_calls,partial_attempts,elapsed_seconds
minimax-binpack-relational_rr-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_rr,1,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.11352826487106794,True,2,3,0.75,34654,,,,,,0,0,0,4,7,8,6,31152,3502,16,0,42.31980029994156
minimax-binpack-niche-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,niche,3,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.11780149380826194,True,3,4,1.0,23113,True,,,,,2,0,2,4,1,8,8,19829,3284,16,0,41.68840890005231
qwen-binpack-relational-b4-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational,4,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.10828340769890829,True,2,2,0.8333333333333334,20689,True,,,,,0,1,0,5,6,6,5,19405,1284,12,0,31.767243599984795
minimax-binpack-relational_qp-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp,3,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.11900922327686098,True,4,4,0.875,31368,,,,,,0,0,0,4,6,8,7,28198,3170,16,0,43.66474580008071
minimax-binpack-relational_qp_rr-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp_rr,0,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.10892689570996252,True,6,6,1.0,20396,True,,,,,0,0,0,2,5,6,6,18040,2356,12,0,38.14176599995699
minimax-binpack-niche-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,niche,0,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.10892689570996252,True,3,4,0.875,22343,True,,,,,1,0,0,5,1,8,7,19768,2575,16,0,33.777291699894704
qwen-tsp-niche-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,3,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,ok,0.05980205600757577,True,4,4,1.0,25005,True,0.0648758930389037,-0.005073837031327931,0.0017970944431403445,0.025365137300243562,3,0,1,3,2,10,10,22684,2321,20,0,62.573675099993125
minimax-tsp-niche-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,2,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05206376641266345,True,5,5,1.0,22100,,0.05102935154440657,0.0010344148682568804,0.0020001333323307335,0.018773260897165245,1,1,0,1,1,8,8,19397,2703,16,0,41.10651310009416
qwen-tsp-niche-b1-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,1,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,ok,0.06342870067576761,True,5,5,1.0,24851,True,0.060931303732214635,0.0024973969435529778,0.0017766749984326048,0.03368617128873458,4,6,5,2,2,10,10,22510,2341,20,0,61.474003099952824
minimax-binpack-relational-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational,3,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.11780149380826194,True,6,6,1.0,32000,,,,,,1,0,0,4,5,8,8,29125,2875,16,0,37.776643700082786
minimax-tsp-relational_rr-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_rr,2,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,ok,0.05206376641266345,True,1,1,1.0,18407,True,0.05206376641266345,0.0,0.001769483331978942,0.0,0,0,0,1,5,5,5,16276,2131,10,0,35.62363530008588
minimax-tsp-relational_qp-b2-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,2,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,ok,0.05206376641266345,True,1,1,1.0,21333,True,0.05206376641266345,0.0,0.0018658333348058579,0.0,0,0,0,0,6,6,6,18988,2345,12,0,46.39718660002109
minimax-tsp-relational_qp-b4-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,4,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,ok,0.05186854709736476,True,1,1,1.0,19424,True,0.05186854709736476,0.0,0.0019147083318481843,0.0,0,1,0,1,5,5,5,17272,2152,10,0,26.77472069999203
minimax-binpack-relational-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational,1,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.11352826487106794,True,6,6,0.875,29035,,,,,,0,0,0,3,6,8,7,25778,3257,16,0,45.84568729996681
qwen-binpack-relational_qp_rr-b4-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp_rr,4,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.10828340769890829,True,2,2,1.0,19856,True,,,,,0,0,0,6,6,6,6,18873,983,12,0,31.938319000066258
minimax-tsp-relational-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,2,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05206376641266345,True,4,4,1.0,29094,,0.041599121208279174,0.010464645204384275,0.001930197222261793,0.037334528000959225,0,0,0,1,6,8,8,26396,2698,16,0,42.52999120007735
minimax-tsp-niche-b1-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,1,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05868623046156355,True,5,5,0.875,20317,,0.07033494901979585,-0.011648718558232303,0.001779836110977663,0.031235029385124367,4,2,2,1,1,8,7,18020,2297,16,0,39.447132900008
qwen-tsp-relational-b4-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational,4,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.037958237968322796,True,3,4,1.0,27969,,0.03848757926722852,-0.0005293412989057222,0.0018302194431372401,0.019287825881308604,0,0,0,0,6,8,8,26120,1849,16,0,50.66589699999895
qwen-tsp-niche-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,niche,2,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05206376641266345,True,4,5,1.0,20261,,0.04306761364959994,0.008996152763063509,0.001826727778987131,0.026406562367897454,0,1,1,0,1,8,8,18387,1874,16,0,50.75938129995484
qwen-tsp-relational_rr-b3-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_rr,3,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,ok,0.06033368646755304,True,3,3,1.0,18885,True,0.058201277460085105,0.0021324090074679378,0.0017925138882775274,0.02266453237417796,1,1,1,1,4,6,6,17675,1210,12,0,42.406881999922916
qwen-binpack-niche-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,niche,0,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,1,False,0,stop_after_unknown_usage,not_applicable_online_task,0.10892689570996252,True,2,2,0.8333333333333334,,False,,,,,3,0,3,2,1,6,5,9104,838,10,0,146.0233137999894
