model,task,regime,contrast,metric,eligible_paired_blocks,block_ids,mean_difference,bootstrap_95_low,bootstrap_95_high
MiniMax-M3,binpack,slots8,relational_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0,0.0,0.0
MiniMax-M3,binpack,slots8,relational_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-0.8,-2.4,0.4
MiniMax-M3,binpack,slots8,relational_minus_niche,selector_loss,0,[],,,
MiniMax-M3,binpack,slots8,relational_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",6966.8,5429.0,8883.8
MiniMax-M3,binpack,slots8,relational_qp_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.00024154589371980784,0.0,0.0007246376811594236
MiniMax-M3,binpack,slots8,relational_qp_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.4,-3.2,0.4
MiniMax-M3,binpack,slots8,relational_qp_minus_niche,selector_loss,0,[],,,
MiniMax-M3,binpack,slots8,relational_qp_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",7605.0,5671.8,9516.8
MiniMax-M3,binpack,slots8,relational_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0,0.0,0.0
MiniMax-M3,binpack,slots8,relational_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.8,-4.2,1.2
MiniMax-M3,binpack,slots8,relational_rr_minus_niche,selector_loss,0,[],,,
MiniMax-M3,binpack,slots8,relational_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",7448.4,5235.4,9700.4
MiniMax-M3,binpack,slots8,relational_qp_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0,0.0,0.0
MiniMax-M3,binpack,slots8,relational_qp_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.4,-3.4,1.2
MiniMax-M3,binpack,slots8,relational_qp_rr_minus_niche,selector_loss,0,[],,,
MiniMax-M3,binpack,slots8,relational_qp_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",7241.8,4857.6,9757.2
MiniMax-M3,binpack,tokens30000,relational_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0,0.0,0.0
MiniMax-M3,binpack,tokens30000,relational_minus_niche,modes,5,"[0, 1, 2, 3, 4]",0.6,-0.4,1.4
MiniMax-M3,binpack,tokens30000,relational_minus_niche,selector_loss,0,[],,,
MiniMax-M3,binpack,tokens30000,relational_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-3236.6,-4109.8,-2363.4
MiniMax-M3,binpack,tokens30000,relational_qp_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0,0.0,0.0
MiniMax-M3,binpack,tokens30000,relational_qp_minus_niche,modes,5,"[0, 1, 2, 3, 4]",0.0,-0.8,0.8
MiniMax-M3,binpack,tokens30000,relational_qp_minus_niche,selector_loss,0,[],,,
MiniMax-M3,binpack,tokens30000,relational_qp_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-2542.4,-3805.4,-1172.2
MiniMax-M3,binpack,tokens30000,relational_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0,0.0,0.0
MiniMax-M3,binpack,tokens30000,relational_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",0.0,-0.8,1.0
MiniMax-M3,binpack,tokens30000,relational_rr_minus_niche,selector_loss,0,[],,,
MiniMax-M3,binpack,tokens30000,relational_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-2408.6,-4010.2,-807.0
MiniMax-M3,binpack,tokens30000,relational_qp_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0,0.0,0.0
MiniMax-M3,binpack,tokens30000,relational_qp_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",0.8,-0.2,2.0
MiniMax-M3,binpack,tokens30000,relational_qp_rr_minus_niche,selector_loss,0,[],,,
MiniMax-M3,binpack,tokens30000,relational_qp_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-2774.6,-4313.8,-1627.0
MiniMax-M3,tsp,slots8,relational_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.003007442902510854,-0.005585810444860095,0.010901250545004858
MiniMax-M3,tsp,slots8,relational_minus_niche,modes,5,"[0, 1, 2, 3, 4]",0.0,-1.4,1.4
MiniMax-M3,tsp,slots8,relational_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",-0.001538512486214963,-0.00977358934708343,0.006084585371379953
MiniMax-M3,tsp,slots8,relational_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",7863.0,6993.8,8741.2
MiniMax-M3,tsp,slots8,relational_qp_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.007170139647819632,-1.303347815967415e-05,0.017288294100256448
MiniMax-M3,tsp,slots8,relational_qp_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-0.6,-1.4,0.4
MiniMax-M3,tsp,slots8,relational_qp_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",0.0017277727160929846,-0.005729141370578729,0.006787855014069791
MiniMax-M3,tsp,slots8,relational_qp_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",8173.4,7703.0,8643.8
MiniMax-M3,tsp,slots8,relational_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",-0.002556858467816821,-0.008577086894158117,0.0031088268858788072
MiniMax-M3,tsp,slots8,relational_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-0.6,-2.8,1.8
MiniMax-M3,tsp,slots8,relational_rr_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",-0.006866289803166048,-0.013772465876121598,-9.40867197619738e-05
MiniMax-M3,tsp,slots8,relational_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",7674.8,4360.8,10988.8
MiniMax-M3,tsp,slots8,relational_qp_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.0017131146314625797,-0.003480438124966456,0.0069066673878916155
MiniMax-M3,tsp,slots8,relational_qp_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.2,-2.8,0.2
MiniMax-M3,tsp,slots8,relational_qp_rr_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",-0.0038407962549855484,-0.01139687539658343,0.0023354294500909033
MiniMax-M3,tsp,slots8,relational_qp_rr_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",10063.8,7648.4,12098.8
MiniMax-M3,tsp,tokens30000,relational_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.014022887023982647,0.002778618830581779,0.02526715521738352
MiniMax-M3,tsp,tokens30000,relational_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-2.0,-3.2,-1.0
MiniMax-M3,tsp,tokens30000,relational_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",0.004513675797923678,-0.0014467061867879632,0.011871785836677237
MiniMax-M3,tsp,tokens30000,relational_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-732.6,-1272.6,-191.8
MiniMax-M3,tsp,tokens30000,relational_qp_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.014640724997260934,0.001249384974808297,0.02803206501971357
MiniMax-M3,tsp,tokens30000,relational_qp_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-1.8,-4.2,0.2
MiniMax-M3,tsp,tokens30000,relational_qp_minus_niche,selector_loss,5,"[0, 1, 2, 3, 4]",0.006128628663547889,0.001310439467059371,0.010946817860036406
MiniMax-M3,tsp,tokens30000,relational_qp_minus_niche,known_tokens,5,"[0, 1, 2, 3, 4]",-2233.2,-3287.8,-1411.2
MiniMax-M3,tsp,tokens30000,relational_rr_minus_niche,test_loss,5,"[0, 1, 2, 3, 4]",0.01696702324039648,0.007895035894235045,0.024958222622320385
MiniMax-M3,tsp,tokens30000,relational_rr_minus_niche,modes,5,"[0, 1, 2, 3, 4]",-2.2,-4.4,-0.2
