model,block,contrast,treated,test_gap_difference,branch_attempt_difference,token_difference
MiniMax-M3,0,niche_fixed_dev_minus_niche,niche_fixed_dev,0.002031674899137477,4,-1000
MiniMax-M3,1,niche_fixed_dev_minus_niche,niche_fixed_dev,-0.02320690958920143,4,2592
MiniMax-M3,2,niche_fixed_dev_minus_niche,niche_fixed_dev,-0.00782952293489781,3,1185
MiniMax-M3,0,relational_branch_minus_niche,relational_branch,0.011309407620033372,0,2059
MiniMax-M3,1,relational_branch_minus_niche,relational_branch,0.0,0,2115
MiniMax-M3,2,relational_branch_minus_niche,relational_branch,-0.004373454450762301,4,1024
MiniMax-M3,0,relational_branch_minus_niche_fixed_dev,relational_branch,0.009277732720895895,-4,3059
MiniMax-M3,1,relational_branch_minus_niche_fixed_dev,relational_branch,0.02320690958920143,-4,-477
MiniMax-M3,2,relational_branch_minus_niche_fixed_dev,relational_branch,0.003456068484135509,1,-161
qwen3.7-plus,0,niche_fixed_dev_minus_niche,niche_fixed_dev,-0.001007012860647194,3,557
qwen3.7-plus,1,niche_fixed_dev_minus_niche,niche_fixed_dev,0.00397358551716747,3,-545
qwen3.7-plus,2,niche_fixed_dev_minus_niche,niche_fixed_dev,0.014589932064979293,3,214
qwen3.7-plus,0,relational_branch_minus_niche,relational_branch,-0.006406344677308724,4,-179
qwen3.7-plus,1,relational_branch_minus_niche,relational_branch,0.022082762171217137,0,968
qwen3.7-plus,2,relational_branch_minus_niche,relational_branch,0.014589932064979293,2,-640
qwen3.7-plus,0,relational_branch_minus_niche_fixed_dev,relational_branch,-0.00539933181666153,1,-736
qwen3.7-plus,1,relational_branch_minus_niche_fixed_dev,relational_branch,0.018109176654049666,-3,1513
qwen3.7-plus,2,relational_branch_minus_niche_fixed_dev,relational_branch,0.0,-1,-854
