job_id,model,controller,block,test_gap,validation_best_gap,generated,valid_generated,model_calls,tokens_used,usage_complete,request_errors,branch_admissions,branch_attempts,valid_branch_children,parent_improving_branch_children,branch_max_depth,branch_classifications,modes,initial_best_seed_test_gap,test_oracle_gain_upper_bound
minimax-niche-b0,MiniMax-M3,niche,0,0.05600189501021046,0.05107905374178238,8,7,16,23418,True,0,0,0,0,0,0,"{""competitive_local_improvement"": 3, ""competitive_novel_behavior_without_parent_gain"": 2, ""low_quality_novel_behavior"": 2, ""invalid_program"": 1}",7,0.06731130263024383,0.026133460235137976
minimax-niche_fixed_dev-b0,MiniMax-M3,niche_fixed_dev,0,0.05803356990934794,0.05009312803110955,8,8,16,22418,True,0,3,4,4,1,4,"{""competitive_local_improvement"": 3, ""unproductive_repeat"": 2, ""low_quality_novel_behavior"": 3}",3,0.06731130263024383,0.01142905482245906
alibaba-niche-b0,qwen3.7-plus,niche,0,0.05679543588075542,0.03809381485462262,8,8,16,20413,True,0,0,0,0,0,0,"{""competitive_local_improvement"": 5, ""low_quality_novel_behavior"": 1, ""competitive_novel_behavior_without_parent_gain"": 2}",8,0.06731130263024383,0.024529865070474197
minimax-niche_fixed_dev-b2,MiniMax-M3,niche_fixed_dev,2,0.05297350533902183,0.054460425394989805,8,8,16,21830,True,0,3,3,3,1,3,"{""low_quality_novel_behavior"": 1, ""competitive_local_improvement"": 3, ""competitive_novel_behavior_without_parent_gain"": 4}",8,0.07111980808233907,0.01961201236908571
alibaba-niche_fixed_dev-b0,qwen3.7-plus,niche_fixed_dev,0,0.055788423020108224,0.052847018807173525,8,8,16,20970,True,0,4,3,3,1,2,"{""competitive_local_improvement"": 4, ""competitive_novel_behavior_without_parent_gain"": 3, ""unproductive_repeat"": 1}",8,0.06731130263024383,0.024431707420672612
alibaba-niche-b1,qwen3.7-plus,niche,1,0.04746558868347434,0.05137102127130761,8,8,16,19804,True,0,0,0,0,0,0,"{""competitive_novel_behavior_without_parent_gain"": 2, ""unproductive_repeat"": 2, ""competitive_local_improvement"": 3, ""low_quality_novel_behavior"": 1}",5,0.06954835085469148,0.016048320645775403
minimax-relational_branch-b1,MiniMax-M3,relational_branch,1,0.06954835085469148,0.05803018153572367,8,8,16,25395,True,0,0,0,0,0,0,"{""low_quality_novel_behavior"": 8}",1,0.06954835085469148,0.0
minimax-relational_branch-b2,MiniMax-M3,relational_branch,2,0.05642957382315734,0.04541720263199269,8,8,16,21669,True,0,3,4,4,2,4,"{""competitive_local_improvement"": 3, ""competitive_novel_behavior_without_parent_gain"": 1, ""unproductive_repeat"": 1, ""low_quality_novel_behavior"": 3}",5,0.07111980808233907,0.015223022485058794
minimax-niche_fixed_dev-b1,MiniMax-M3,niche_fixed_dev,1,0.04634144126549005,0.054452481169873806,8,8,16,25872,True,0,2,4,4,0,2,"{""competitive_local_improvement"": 2, ""competitive_novel_behavior_without_parent_gain"": 4, ""unproductive_repeat"": 2}",7,0.06954835085469148,0.018331382391508774
alibaba-relational_branch-b1,qwen3.7-plus,relational_branch,1,0.06954835085469148,0.05803018153572367,8,8,16,20772,True,0,0,0,0,0,0,"{""low_quality_novel_behavior"": 2, ""competitive_novel_behavior_without_parent_gain"": 6}",7,0.06954835085469148,0.01987383614055433
minimax-niche-b1,MiniMax-M3,niche,1,0.06954835085469148,0.05803018153572367,8,7,16,23280,True,0,0,0,0,0,0,"{""low_quality_novel_behavior"": 2, ""competitive_novel_behavior_without_parent_gain"": 1, ""low_quality_repeat"": 1, ""invalid_program"": 1, ""competitive_local_improvement"": 3}",4,0.06954835085469148,0.016803316572455228
minimax-relational_branch-b0,MiniMax-M3,relational_branch,0,0.06731130263024383,0.0582290764382379,8,7,16,25477,True,0,0,0,0,0,0,"{""competitive_novel_behavior_without_parent_gain"": 1, ""low_quality_novel_behavior"": 6, ""invalid_program"": 1}",3,0.06731130263024383,0.01341446571190505
alibaba-relational_branch-b2,qwen3.7-plus,relational_branch,2,0.06953632744277562,0.04968663673303751,8,8,16,19764,True,0,1,2,2,0,2,"{""competitive_local_improvement"": 1, ""competitive_novel_behavior_without_parent_gain"": 4, ""low_quality_novel_behavior"": 1, ""known_rule_reproduction"": 1, ""unproductive_repeat"": 1}",4,0.07111980808233907,0.012303323744334564
alibaba-niche_fixed_dev-b2,qwen3.7-plus,niche_fixed_dev,2,0.06953632744277562,0.04968663673303751,8,8,16,20618,True,0,2,3,3,0,2,"{""competitive_local_improvement"": 2, ""competitive_novel_behavior_without_parent_gain"": 3, ""unproductive_repeat"": 1, ""low_quality_novel_behavior"": 1, ""known_rule_reproduction"": 1}",5,0.07111980808233907,0.019598551088425044
alibaba-niche-b2,qwen3.7-plus,niche,2,0.054946395377796324,0.03715920584549049,8,8,16,20404,True,0,0,0,0,0,0,"{""competitive_local_improvement"": 6, ""competitive_novel_behavior_without_parent_gain"": 1, ""unproductive_repeat"": 1}",2,0.07111980808233907,0.003120636982006972
minimax-niche-b2,MiniMax-M3,niche,2,0.06080302827391964,0.04332874998607516,8,8,16,20645,True,0,0,0,0,0,0,"{""competitive_local_improvement"": 3, ""competitive_novel_behavior_without_parent_gain"": 3, ""low_quality_novel_behavior"": 2}",5,0.07111980808233907,0.013967490918420068
alibaba-niche_fixed_dev-b1,qwen3.7-plus,niche_fixed_dev,1,0.05143917420064181,0.043553367818392384,8,8,16,19259,True,0,2,3,3,0,2,"{""competitive_novel_behavior_without_parent_gain"": 3, ""competitive_local_improvement"": 2, ""low_quality_novel_behavior"": 2, ""unproductive_repeat"": 1}",6,0.06954835085469148,0.01580435105685365
alibaba-relational_branch-b0,qwen3.7-plus,relational_branch,0,0.050389091203446694,0.05165411877136214,8,8,16,20234,True,0,2,4,4,1,3,"{""competitive_local_improvement"": 2, ""unproductive_repeat"": 2, ""competitive_novel_behavior_without_parent_gain"": 3, ""low_quality_novel_behavior"": 1}",5,0.06731130263024383,0.012499897417719702
