job_id,model,controller,block,result_sha256,test_gap,admissions,followups,valid_children,parent_improvements,global_improvements,multi_branch_slots,restarts,restarts_to_untried_tags,w_only_references,max_attempt_depth,max_success_depth
minimax-niche-b0,MiniMax-M3,niche,0,1917abffd64c31897f3e5f2538bf097c507d6b0626e5cf20e89b493173a445aa,0.05600189501021046,0,0,0,0,0,0,1,1,0,0,0
minimax-niche_fixed_dev-b0,MiniMax-M3,niche_fixed_dev,0,ed53ba1b4c9ff22cd8e09161a9dc22871d4561832c385b3b65a8690fd2274e68,0.05803356990934794,3,4,4,1,1,3,1,1,0,4,3
alibaba-niche-b0,qwen3.7-plus,niche,0,ad767273d14e9b342d8d14915a7e2a7c5c71896310f79054574a07a291ff2ffd,0.05679543588075542,0,0,0,0,0,0,1,1,0,0,0
minimax-niche_fixed_dev-b2,MiniMax-M3,niche_fixed_dev,2,adf843576a952ddc379c90bc60539acd18330552d02aac6498dc97fd82c6c45b,0.05297350533902183,3,3,3,1,0,3,1,1,0,3,2
alibaba-niche_fixed_dev-b0,qwen3.7-plus,niche_fixed_dev,0,079cc7d8929d2150a793690c27f6d996548426bf75d6742c5aa2b112e111324d,0.055788423020108224,4,3,3,1,1,1,1,1,0,2,2
alibaba-niche-b1,qwen3.7-plus,niche,1,4bb959cffcbc8e710581134be07227a642c8551df791c3e5f5cef6a2faf805a0,0.04746558868347434,0,0,0,0,0,0,1,1,0,0,0
minimax-relational_branch-b1,MiniMax-M3,relational_branch,1,5936163c6bf16868f52378b27472a0dadf796984a0cf3bfca104180d25b38cbc,0.06954835085469148,0,0,0,0,0,0,7,5,8,0,0
minimax-relational_branch-b2,MiniMax-M3,relational_branch,2,c2859b241988b266addde9831bba7c3a1cb0328caa4a1034459fa8cf638759c1,0.05642957382315734,3,4,4,2,2,2,2,2,3,4,3
minimax-niche_fixed_dev-b1,MiniMax-M3,niche_fixed_dev,1,2e4ad9dd661d7fe5c61367484713cd45e1d845cb571e148cc11aa50052a100ee,0.04634144126549005,2,4,4,0,0,2,1,1,0,2,1
alibaba-relational_branch-b1,qwen3.7-plus,relational_branch,1,7576280ce094f86307d97ecb45614a31eb90c0273a4906c7f1d1e27d9c2f001d,0.06954835085469148,0,0,0,0,0,0,5,5,4,0,0
minimax-niche-b1,MiniMax-M3,niche,1,462fff08a13442c6754f3b2adbc0bb661bc7119e36dbcb5b5c67c3d4fa3f81a7,0.06954835085469148,0,0,0,0,0,0,1,1,0,0,0
minimax-relational_branch-b0,MiniMax-M3,relational_branch,0,84ddc44b5181e8d7028f8581c54723991bd1cb3a66bdbcf6eb685f29ec49eadf,0.06731130263024383,0,0,0,0,0,0,5,5,6,0,0
alibaba-relational_branch-b2,qwen3.7-plus,relational_branch,2,619dff2d0e9002af261ad32b617a953f6f4e2a666ab03a270519c41afb236616,0.06953632744277562,1,2,2,0,0,0,4,4,4,2,1
alibaba-niche_fixed_dev-b2,qwen3.7-plus,niche_fixed_dev,2,73afc67ea164a3e4d0b662a8175573aa2eef10492852b07bef7ae75d2cf390b2,0.06953632744277562,2,3,3,0,0,0,1,1,0,2,1
alibaba-niche-b2,qwen3.7-plus,niche,2,ea9bacb51c20a02cbcc6c9abcce6a69c5ed998cd76309967be2bfab577a8b4c1,0.054946395377796324,0,0,0,0,0,0,1,1,0,0,0
minimax-niche-b2,MiniMax-M3,niche,2,a5e6c12b943891846f861667a0bd0a8e9457409194bfdc08a707c6cdf9caf57f,0.06080302827391964,0,0,0,0,0,0,1,1,0,0,0
alibaba-niche_fixed_dev-b1,qwen3.7-plus,niche_fixed_dev,1,ddef8cdacedd53ad22126124048884a8cc9e3e3dae1af9c3111e93f397be863a,0.05143917420064181,2,3,3,0,0,3,1,1,0,2,1
alibaba-relational_branch-b0,qwen3.7-plus,relational_branch,0,d0326cec59f98fce4fc51d0953c9552d910f07f1d0428eeef5ac0abe4616b064,0.050389091203446694,2,4,4,1,1,2,2,2,3,3,2
