job_id,controller,block,step,node_id,actual_parent_id,branch_slot,available_count,distinct_tags,multi_branch_slot,family_priority_varies,fifo_parent_id,full_parent_id,gain_only_parent_id,full_vs_fifo_differs,full_vs_gain_differs,actual_differs_fifo,actual_differs_gain,family_fallback_count,family_observations_min,q_min,q_max,q_span,weighted_gain_min,weighted_gain_max,weighted_gain_span,q_span_greater_than_gain_span,valid_child,parent_improved,global_improved,admitted,classification,parent_gain,loss,attempt_depth,success_depth,different_choice_followed_by_parent_gain,claim
minimax-relational_branch-b8,relational_branch,8,0,3,1,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b8,relational_branch,8,1,4,2,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b8,relational_branch,8,2,5,2,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,True,True,True,True,competitive_local_improvement,0.027934689557826554,0.04943215098140861,,1,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b8,relational_branch,8,3,6,5,True,1,1,False,False,5,5,5,False,False,False,False,1,1,0.4,0.4,0.0,0.006983672389456639,0.006983672389456639,0.0,False,True,False,False,False,competitive_novel_behavior_without_parent_gain,-0.001727311473581336,0.051159462454989944,2,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b8,relational_branch,8,4,7,,False,1,1,False,False,5,5,5,False,False,False,False,0,2,0.5,0.5,0.0,0.0034918361947283193,0.0034918361947283193,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b8,relational_branch,8,5,8,5,True,1,1,False,False,5,5,5,False,False,False,False,0,2,0.5,0.5,0.0,0.0034918361947283193,0.0034918361947283193,0.0,False,False,False,False,False,invalid_program,,,2,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b8,relational_branch,8,6,9,6,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b8,relational_branch,8,7,10,6,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b3,relational_branch,3,0,3,1,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b3,relational_branch,3,1,4,2,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b3,relational_branch,3,2,5,2,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,True,True,False,True,competitive_local_improvement,0.025775012625199947,0.07306581445309786,,1,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b3,relational_branch,3,3,6,5,True,1,1,False,False,5,5,5,False,False,False,False,1,1,0.4,0.4,0.0,0.006443753156299987,0.006443753156299987,0.0,False,False,False,False,False,invalid_program,,,2,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b3,relational_branch,3,4,7,,False,1,1,False,False,5,5,5,False,False,False,False,0,2,0.5,0.5,0.0,0.0032218765781499934,0.0032218765781499934,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b3,relational_branch,3,5,8,5,True,1,1,False,False,5,5,5,False,False,False,False,0,2,0.5,0.5,0.0,0.0032218765781499934,0.0032218765781499934,0.0,False,False,False,False,False,invalid_program,,,2,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b3,relational_branch,3,6,9,1,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b3,relational_branch,3,7,10,2,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b7,relational_branch,7,0,3,2,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b7,relational_branch,7,1,4,1,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b7,relational_branch,7,2,5,2,False,0,0,False,False,,,,False,False,False,False,0,,,,0.0,,,0.0,False,True,True,True,True,competitive_local_improvement,0.03294482606706489,0.06830340282152135,,1,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b7,relational_branch,7,3,6,5,True,1,1,False,False,5,5,5,False,False,False,False,1,1,0.4,0.4,0.0,0.008236206516766223,0.008236206516766223,0.0,False,True,False,False,False,unproductive_repeat,-0.012656077212085878,0.08095948003360723,2,,False,unexecuted alternative rankings do not predict alternative offspring
minimax-relational_branch-b7,relational_branch,7,4,7,,False,1,1,False,False,5,5,5,False,False,False,False,0,2,0.5,0.5,0.0,0.0041181032583831115,0.0041181032583831115,0.0,False,False,False,False,False,invalid_program,,,,,False,unexecuted alternative rankings do not predict alternative offspring
