job_id,model,controller,block,status,planned_proposals,completed_proposals,valid_generated,parse_failures,program_failures,execution_failures_after_parsing,model_calls,tokens,known_tokens,usage_complete,elapsed_seconds,api_seconds,execution_cpu_seconds_including_reference_setup,test_gap,seed_test_gap,test_improvement_over_seed_pp,independent_test_completed,test_valid,best_validation_gap,best_id,branch_admissions,branch_evaluations,valid_branch_children,branch_parent_improvements,branch_global_improvements,successful_extensions,max_attempt_depth,max_success_depth,multi_branch_slots,family_differentiated_slots,full_vs_fifo_differences,full_vs_gain_differences,actual_differs_gain,length_limited_responses,unclosed_thinking_responses
minimax-relational_branch-b8,MiniMax-M3,relational_branch,8,search_complete_test_not_run,8,8,2,6,6,0,10,28489,28489,True,131.7141967000207,125.68544190004468,5.3125,0.05860891442021594,0.06383083076373745,0.522191634352151,True,True,0.04943215098140861,5,1,2,1,0,0,0,2,1,0,0,0,0,0,6,0
minimax-relational_branch-b3,MiniMax-M3,relational_branch,3,search_complete_test_not_run,8,8,1,7,7,0,10,26792,26792,True,76.97834040003363,71.08078749990091,5.140625,0.06199573319786921,0.06199573319786921,0.0,True,True,0.06425268160369149,1,1,2,0,0,0,0,2,1,0,0,0,0,0,7,0
minimax-relational_branch-b7,MiniMax-M3,relational_branch,7,search_complete_test_not_run,8,8,2,6,6,0,11,28596,28596,True,105.18149790004827,99.02819400001317,5.28125,0.07254178629288655,0.06897290384956932,-0.35688824433172256,True,True,0.06830340282152135,5,1,2,1,0,0,0,2,1,0,0,0,0,0,6,0
minimax-niche_fixed_dev-b8,MiniMax-M3,niche_fixed_dev,8,search_complete_test_not_run,8,8,0,8,8,0,8,23286,23286,True,126.40853840007912,120.87999479996506,4.953125,0.06383083076373745,0.06383083076373745,0.0,True,True,0.06123203742437945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
minimax-relational_branch-b6,MiniMax-M3,relational_branch,6,search_complete_test_not_run,8,8,1,7,7,0,9,24948,24948,True,87.34849050000776,81.60855130013078,5.09375,0.056825466908731505,0.05941781465186916,0.25923477431376574,True,True,0.05826430168765224,5,1,2,0,0,0,0,2,1,0,0,0,0,0,7,0
minimax-niche_fixed_dev-b10,MiniMax-M3,niche_fixed_dev,10,search_complete_test_not_run,8,8,0,8,8,0,8,22809,22809,True,114.87822730001062,109.38087190024089,4.953125,0.06510128537110076,0.06510128537110076,0.0,True,True,0.06362522978263468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
minimax-niche_fixed_dev-b5,MiniMax-M3,niche_fixed_dev,5,search_complete_test_not_run,8,8,3,5,5,0,11,28460,28460,True,116.75227099994663,109.94159089995082,5.953125,0.050479672190885415,0.05299685524891637,0.2517183058030954,True,True,0.040809809212819216,8,1,1,0,0,0,0,2,1,0,0,0,0,0,5,0
minimax-niche_fixed_dev-b6,MiniMax-M3,niche_fixed_dev,6,search_complete_test_not_run,8,8,0,8,8,0,9,25292,25292,True,125.40345129999332,119.83577329979744,4.921875,0.05941781465186916,0.05941781465186916,0.0,True,True,0.07073804809635686,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
minimax-niche_fixed_dev-b7,MiniMax-M3,niche_fixed_dev,7,search_complete_test_not_run,8,8,3,5,5,0,11,27062,27062,True,97.07159280008636,90.88137099985033,5.421875,0.05188510367850751,0.06897290384956932,1.708780017106181,True,True,0.04455899623617729,8,2,3,0,0,0,0,2,1,0,0,0,0,0,5,0
minimax-relational_branch-b5,MiniMax-M3,relational_branch,5,search_complete_test_not_run,8,8,0,8,8,0,8,23199,23199,True,87.5731572000077,82.02522549964488,4.921875,0.05299685524891637,0.05299685524891637,0.0,True,True,0.05405425011299267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
