job_id,controller,step,stage,finish_reason,max_tokens,output_tokens,has_think_open,has_think_close,nonthinking_suffix_characters,no_final_text_after_thinking,proposal_failed_at_this_stage,raw_response_sha256
minimax-relational_branch-b8,relational_branch,0,planner,length,1800,1800,True,True,0,True,True,f3aa07dfaf7517fb5d0a5de291b2b14bb01064258559acb3029d970ba04a6a0e
minimax-relational_branch-b8,relational_branch,1,planner,length,1800,1800,True,True,0,True,True,9c177abbb8dd37e59a920b28a7ae764ee35f9847c096759a0c608139d224000f
minimax-relational_branch-b8,relational_branch,2,coder,stop,2000,1636,True,True,108,False,False,330619b81b89cdb7a9b2d128381f817732f0c8894d3a1581adefec6e13ba8109
minimax-relational_branch-b8,relational_branch,2,planner,stop,1800,1641,True,True,479,False,False,2c36bee082b989dfd068e44c7122182a820f82cf23ac5381f777b91fdf551284
minimax-relational_branch-b8,relational_branch,3,coder,stop,2000,1488,True,True,105,False,False,1a1fa3c199ca14665f9969d2a0a0a4e4df2ec37384cc88ee8ed7452dea98e408
minimax-relational_branch-b8,relational_branch,3,planner,stop,1800,1581,True,True,600,False,False,8bcef7d24e2201f42367c66939961ae5125312da7e8e2928e66ec907e12658bf
minimax-relational_branch-b8,relational_branch,4,planner,length,1800,1800,True,True,0,True,True,0281aa286ace848272445e869f23c43b18af2d3612bbfb748fea5d46cfefc95f
minimax-relational_branch-b8,relational_branch,5,planner,length,1800,1800,True,True,0,True,True,1057c630e8e46e5f5ff55b66e790514be31910108f2920bfe114344b329fb377
minimax-relational_branch-b8,relational_branch,6,planner,length,1800,1799,True,True,0,True,True,bf33ee9933e01c742c85eaa4c7abe4fc0e027976604c112b31504e5946c8d318
minimax-relational_branch-b8,relational_branch,7,planner,length,1800,1800,True,True,0,True,True,3a671d46f68a8db0144477491a61169f5cec1790f16548f098c495010d092e6f
minimax-relational_branch-b3,relational_branch,0,coder,length,2000,2000,True,True,0,True,True,896b81dceb4af6b389d634c74e0ee40c5d7c42fb6b19988cd5a6a1507460420a
minimax-relational_branch-b3,relational_branch,0,planner,stop,1800,1408,True,True,417,False,False,f0a2711253700b117d5d8fa664bd67f9fb86be05f6cbd8307396a8751292a150
minimax-relational_branch-b3,relational_branch,1,planner,length,1800,1800,True,True,0,True,True,e486208d758559356051e78c80ccd87c60b4757c4fb5c895820306624a3651c9
minimax-relational_branch-b3,relational_branch,2,coder,stop,2000,368,True,True,106,False,False,5f0cf9f03034cda2a218e2051ad4c340cb856fe7eed2162435932ede8219b053
minimax-relational_branch-b3,relational_branch,2,planner,stop,1800,1347,True,True,640,False,False,60d213b40d03346adefb75b75056d8e02994982791d3dbae8329610f15831908
minimax-relational_branch-b3,relational_branch,3,planner,length,1800,1800,True,True,0,True,True,f5e902b0dafc05e5ecdf3a6505ba475a14ad64ebef9f11e9a5ce93f73d96489c
minimax-relational_branch-b3,relational_branch,4,planner,length,1800,1800,True,True,0,True,True,673101a68653a990c58bc8babba90938a8d396d5c426bac96928c9228736e395
minimax-relational_branch-b3,relational_branch,5,planner,length,1800,1800,True,True,0,True,True,eb6ff7dc58a4992f1e321104f7a4c370589c61e33cf2a6f29f9ca144eefa5a88
minimax-relational_branch-b3,relational_branch,6,planner,length,1800,1800,True,True,0,True,True,b624126c6fec465599909cb4da98206b8f5c7001de4b4071484f224091e34c7e
minimax-relational_branch-b3,relational_branch,7,planner,length,1800,1800,True,True,0,True,True,025d0b6f4e860749d07ae9d72e869c359e83137f39ef53a25da9d71717d2316f
minimax-relational_branch-b7,relational_branch,0,coder,length,2000,2000,True,True,26,False,True,1cb2a849fb87d3bb72ed5237649298631dc0221138acc738b991b6ddb88c7e23
minimax-relational_branch-b7,relational_branch,0,planner,stop,1800,1213,True,True,544,False,False,cf555f4185bedbc913ac8f426d5752fdbd88f89018564dfb26b7ce8cd9ed8393
minimax-relational_branch-b7,relational_branch,1,planner,length,1800,1800,True,True,0,True,True,591b94f77caa91865a598922ded07a38f74efc3ea1316cf19807e5299f944767
minimax-relational_branch-b7,relational_branch,2,coder,stop,2000,620,True,True,112,False,False,d49c2a3b49f660e8f54a96b134d2af3b2488ca16a447efc83e3aedf0dc105624
minimax-relational_branch-b7,relational_branch,2,planner,stop,1800,1611,True,True,553,False,False,6ac638d2ee681b03ccd4819d43468b6c836ede27ca2cc93fe0674a8851b36aa7
minimax-relational_branch-b7,relational_branch,3,coder,stop,2000,699,True,True,142,False,False,4771fea1b0d0e812ebfa5aa8ecf88da4a7b9e201b66e73d2265feab50cd7047a
minimax-relational_branch-b7,relational_branch,3,planner,stop,1800,1269,True,True,643,False,False,4b8334531ec58880fa3cca41ba7d834fa5839fc4d69257dbd2327d7ed1432eac
minimax-relational_branch-b7,relational_branch,4,planner,length,1800,1800,True,True,0,True,True,716937769a171d314e3a30cfcc3dc997e85961dbf80d23bfa4743a3ceac037cd
minimax-relational_branch-b7,relational_branch,5,planner,length,1800,1800,True,True,0,True,True,1076dc421e59088ecc594c26158538bbfab22c6feecbae29430e0e518106bedc
minimax-relational_branch-b7,relational_branch,6,planner,length,1800,1800,True,True,0,True,True,083165d80d1ad2c777ee83f22402d1dfbac47c988c48852299b910e670e5fa6f
minimax-relational_branch-b7,relational_branch,7,planner,length,1800,1799,True,True,0,True,True,ef50b042c39a55f8cb8d18b5195b2bf46c28594ebc42839279bcdffcf4918b93
minimax-niche_fixed_dev-b8,niche_fixed_dev,0,planner,length,1800,1800,True,True,0,True,True,bb1e31e4e93d8490d0c2b5b56b28b4a259298cbceba8161e77c0321f4d0e559a
minimax-niche_fixed_dev-b8,niche_fixed_dev,1,planner,length,1800,1800,True,True,0,True,True,d9da0e2d36016dbb77e9089980d2c90a369c4dd411dc6cf9c603158cc4aa37ab
minimax-niche_fixed_dev-b8,niche_fixed_dev,2,planner,length,1800,1800,True,True,0,True,True,debe6a149b16e9bcf77fc171a9da65ac641e97aee044f29df18ff8ecc03f3998
minimax-niche_fixed_dev-b8,niche_fixed_dev,3,planner,length,1800,1800,True,True,0,True,True,d3eb0bb2d631b1fbc1efda01c8dc54d2f7708e5b1b445c2ff396baa84c6d9ed7
minimax-niche_fixed_dev-b8,niche_fixed_dev,4,planner,length,1800,1799,True,True,0,True,True,c9708aa748f2f54825dc87b45835c28c96baf77345494ed1a3816069dc648905
minimax-niche_fixed_dev-b8,niche_fixed_dev,5,planner,length,1800,1800,True,True,0,True,True,f4e8b486d59e38950b9809fafd08c105c22bf97228c446eec92ece40867162cc
minimax-niche_fixed_dev-b8,niche_fixed_dev,6,planner,length,1800,1800,True,True,0,True,True,874de3dc2c3b50b36cb0b5e4900d1013ee98e2229cdc1886074b9d7b54b01733
minimax-niche_fixed_dev-b8,niche_fixed_dev,7,planner,length,1800,1800,True,True,0,True,True,fe8f0c376cafb4a3ce5f4f9a260e5ac5527ab0606193cfe43e6982e1a977d942
minimax-relational_branch-b6,relational_branch,0,planner,length,1800,1800,True,True,0,True,True,f4d0cc16ef959bf978d2357cbc00d7733389a314a8d7983373df0957cb5d93d9
minimax-relational_branch-b6,relational_branch,1,planner,length,1800,1800,True,True,0,True,True,a9b8471e54f360722b7b941ae1eb7adcad71787ad5fb580b54fcf26cc3a007be
minimax-relational_branch-b6,relational_branch,2,coder,stop,2000,1372,True,True,165,False,False,6298c493aab575631fd32601a89267796f85ea5a25ebef176658c68949703e9d
minimax-relational_branch-b6,relational_branch,2,planner,stop,1800,952,True,True,653,False,False,2ccd34df3af02ac13635b4092d4a4e06837d1f6428145510865e1df168f30c6c
minimax-relational_branch-b6,relational_branch,3,planner,length,1800,1799,True,True,0,True,True,1a2baee34b2d4806b3014d7f42129e9e5d95b51134b60f655dc366802cd14687
minimax-relational_branch-b6,relational_branch,4,planner,length,1800,1800,True,True,0,True,True,c597c673c9b06e68e9a186c3774cff24522f7ed079bc7146153d5d5220a2071f
minimax-relational_branch-b6,relational_branch,5,planner,length,1800,1800,True,True,0,True,True,fc74ae19727bcac28bbd3b0d1dbf957335eb6b1f6e27be64163a99c6e227c4b7
